Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Jed Anderson,NME,MID,562300,104.7,106,0,106,581336,19036,15,103.67,7,88.24,118.4,0.53,14.93,9.46,7.06,7.07,2.82,
Patrick Cripps,CAR,MID,523700,97.5,105,0,105,577961,54261,17,112.58,6.99,100,81.6,0.47,16.22,9.45,8,4.93,2.5,
Stephen Coniglio,GWS,MID,528900,98.4,105,0,105,576977,48077,16,105.88,7.06,94.12,95.25,0.56,15.25,9.54,7.53,5.73,2.98,
Tom Liberatore,WBD,MID,569900,106.1,105,0,105,576555,6655,15,104,6.7,88.24,115.8,0.56,14.98,9.06,7.06,6.92,2.98,
Hugh Greenwood,GCS,MID,567300,105.6,105,0,105,576414,9114,17,104.59,6.22,100,111.8,0.53,15.07,8.41,8,6.69,2.82,
Hugh McCluggage,BRI,MID,545500,101.5,105,0,105,575008,29508,17,102.16,6.68,100,105.43,0.53,14.72,9.03,8,6.32,2.82,
Ollie Wines,POR,MID,560600,104.3,105,0,105,573180,12580,15,103.24,7.07,88.24,107.67,0.53,14.87,9.56,7.06,6.45,2.82,
Scott Pendlebury,COL,MID,592200,110.2,104,0,104,568117,-24083,13,107.83,7.47,76.47,102.6,0.47,15.53,10.1,6.12,6.15,2.5,
Dylan Shiel,ESS,MID,548000,102,103,0,103,566571,18571,15,101,7.65,88.24,97.17,0.47,14.55,10.34,7.06,5.84,2.5,
Steele Sidebottom,COL,MID,588000,109.4,103,0,103,562352,-25648,9,108.44,7.52,52.94,117,0.56,15.62,10.16,4.24,6.99,2.98,
Steele Sidebottom,COL,FWD,588000,109.4,103,0,103,562352,-25648,9,108.44,7.52,52.94,117,0.56,15.62,10.16,4.24,6.99,2.98,
Luke McDonald,NME,DEF,512900,95.5,102,0,102,559258,46358,17,94.47,6.74,100,114.8,0.41,13.61,9.11,8,6.86,2.19,
Andrew Brayshaw,FRE,MID,544200,101.3,102,0,102,557852,13652,17,99.71,6.63,100,91.8,0.53,14.36,8.96,8,5.53,2.82,
Adam Treloar,WBD,MID,587600,109.4,102,-2,100,556586,-31014,8,110.23,8.54,47.06,86,0.6,15.88,11.54,3.77,5.19,3.2,2 week calf injury
Jeremy Howe,COL,DEF,517900,120.5,101,0,101,555743,37843,4,119.5,6.83,23.53,120.5,0.75,17.21,9.23,1.89,7.2,3.99,
Jordan Ridley,ESS,DEF,547700,101.9,101,0,101,555602,7902,17,100.94,5.91,100,97.17,0.59,14.54,7.99,8,5.84,3.14,
Tom Stewart,GEE,DEF,538000,100.1,101,0,101,555461,17461,14,100.06,6.16,82.35,110.33,0.67,14.41,8.33,6.59,6.6,3.57,
Adam Saad,CAR,DEF,526200,97.9,101,0,101,553211,27011,17,96.94,6.24,100,96.33,0.59,13.97,8.44,8,5.79,3.14,
Tim Kelly,WCE,MID,517400,96.3,101,0,101,551383,33983,17,94.72,7.01,100,100,0.39,13.65,9.48,8,6,2.08,
Callum Mills,SYD,DEF,544800,101.4,100,0,100,550540,5740,15,100.4,6.17,88.24,108,0.53,14.46,8.34,7.06,6.47,2.82,
Jayden Short,RIC,DEF,519300,96.6,100,0,100,550399,31099,17,97.33,6.56,100,99.33,0.43,14.02,8.87,8,5.96,2.29,
Jack Crisp,COL,DEF,533200,99.2,100,0,100,547446,14246,17,97.16,6.07,100,108.29,0.42,14,8.21,8,6.48,2.24,
Trent Dumont,NME,MID,543300,101.2,99,0,99,545055,1755,17,100.24,6.7,100,89.4,0.35,14.44,9.06,8,5.39,1.87,
Shaun Higgins,GEE,MID,510400,95,99,0,99,544352,33952,17,97.2,7.12,100,81,0.41,14,9.62,8,4.9,2.19,
