,Name,Team,Position,proj_score,proj_salary,Price,value,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,manual_weight,updated_proj
234,Sam Naismith,SYD,RUC,76,406260,376100,30160,2,100,99,5.67,11.76,100,0,14.26,7.67,0.95,6,0.01,0,76
235,Jack Scrimshaw,HAW,DEF,76,406120,399600,6520,13,74.4,73.31,4.93,76.47,84.4,0.08,10.56,6.67,6.12,5.1,0.43,0,76
236,Luke Dunstan,STK,MID,76,405698,395400,10298,1,92,91,7.18,5.88,92,0,13.11,9.71,0.48,5.54,0.01,0,76
237,Jackson Nelson,WCE,DEF,75,404854,397600,7254,14,74,71.33,4.75,82.35,66.6,0.27,10.28,6.42,6.59,4.06,1.44,0,75
238,Dan Hannebery,STK,MID,75,403729,338500,65229,6,70,93,6.07,35.29,70,0,13.4,8.21,2.83,4.26,0.01,0,75
239,John Noble,COL,DEF,75,403588,393300,10288,15,73.2,68,5.17,88.24,69,0.12,9.8,6.99,7.06,4.2,0.65,0,75
240,Josh Jenkins,GEE,RUC,75,402182,323400,78782,1,86,85,7.8925,5.88,86,0,12.25,10.67,0.48,5.19,0.01,0,75
241,Charlie Cameron,BRI,FWD,75,401198,395400,5798,17,73.6,73.81,3.33,100,70,0.21,10.64,4.51,8,4.26,1.12,0,75
242,Bradley Hill,STK,MID,75,400917,354000,46917,17,65.9,61.74,5.27,100,69,0.05,8.9,7.13,8,4.2,0.28,0,75
243,Brennan Cox,FRE,DEF,74,399088,433500,-34412,13,80.7,78.92,3.8,76.47,81.8,0.15,11.37,5.14,6.12,4.94,0.81,0,74
244,Jack Higgins,STK,FWD,74,399088,419600,-20512,10,78.1,77.1,5,58.82,78.1,0.2,11.11,6.76,4.71,4.73,1.07,0,74
245,Matthew Kennedy,CAR,MID,74,398245,437500,-39255,7,81.4,80.43,5.74,41.18,81.4,0.14,11.59,7.76,3.3,4.92,0.75,0,74
246,Matthew Kennedy,CAR,FWD,74,398245,437500,-39255,7,81.4,80.43,5.74,41.18,81.4,0.14,11.59,7.76,3.3,4.92,0.75,0,74
247,Blake Hardwick,HAW,DEF,74,398104,373100,25004,16,69.4,75.62,4.09,94.12,66,0.06,10.9,5.53,7.53,4.02,0.33,0,74
248,Dougal Howard,STK,DEF,74,397963,355200,42763,17,66.1,68.16,3.55,100,79.71,0.16,9.82,4.8,8,4.82,0.86,0,74
249,Aaron Hall,NME,FWD,74,396838,392200,4638,15,73,72,4.87,88.24,50.67,0.2,10.37,6.59,7.06,3.13,1.07,0,74
250,Kamdyn McIntosh,RIC,MID,74,396838,381500,15338,14,71,69.72,4.67,82.35,71.56,0.17,10.05,6.32,6.59,4.35,0.91,0,74
251,Connor Rozee,POR,FWD,74,396557,377200,19357,14,70.2,75.71,4.17,82.35,66.33,0.19,10.91,5.64,6.59,4.04,1.02,0,74
252,David Zaharakis,ESS,FWD,74,396417,351400,45017,10,65.4,87.37,4.7,58.82,65.4,0.1,12.59,6.36,4.71,3.99,0.54,0,74
253,Mitch Wallis,WBD,FWD,74,395713,379900,15813,17,70.7,85.89,2.98,100,55.4,0.06,12.37,4.03,8,3.41,0.33,0,74
254,Nathan Wilson,FRE,DEF,73,394729,395100,-371,15,73.5,73.3,4.56,88.24,70.2,0,10.56,6.17,7.06,4.27,0.01,0,73
255,Jack Riewoldt,RIC,FWD,73,394448,344500,49948,17,64.1,82.54,2.84,100,66.22,0.05,11.89,3.84,8,4.04,0.28,0,73
256,Shaun Burgoyne,HAW,FWD,73,393885,378600,15285,13,70.5,83.81,3.4,76.47,79,0.08,12.08,4.6,6.12,4.78,0.43,0,73
257,Bayley Fritsch,MEL,FWD,73,393885,359300,34585,16,66.9,73.79,3.71,94.12,79.6,0,10.63,5.02,7.53,4.82,0.01,0,73
258,Ryan Clarke,SYD,MID,73,393604,407800,-14196,10,75.9,74.9,5.64,58.82,71,0.1,10.79,7.63,4.71,4.32,0.54,0,73
259,Xavier Duursma,POR,MID,73,392620,398400,-5780,13,74.2,73.86,4.25,76.47,77.8,0.13,10.64,5.75,6.12,4.71,0.7,0,73
260,Oscar Allen,WCE,FWD,73,390932,422100,-31168,14,78.6,76.67,3.07,82.35,75.2,0.27,11.05,4.16,6.59,4.56,1.44,0,73
261,Patrick Lipinski,WBD,MID,73,389667,429800,-40133,12,80,76.5,5.24,70.59,64.5,0,11.02,7.09,5.65,3.94,0.01,0,73
262,Wil Powell,GCS,DEF,72,388823,358900,29923,15,66.8,65.8,4.6,88.24,74.4,0.07,9.48,6.22,7.06,4.51,0.38,0,72
263,Luke Brown,ADE,DEF,72,387979,363400,24579,17,67.6,66.65,4.1,100,67.4,0.06,9.6,5.55,8,4.11,0.33,0,72
264,David Mackay,ADE,DEF,72,386714,393300,-6586,10,73.2,72.2,5.49,58.82,82,0,10.4,7.42,4.71,4.96,0.01,0,72
265,Luke Dahlhaus,GEE,FWD,72,386292,375200,11092,12,69.8,78.75,4.37,70.59,64,0.12,11.35,5.91,5.65,3.91,0.65,0,72
266,Levi Casboult,CAR,FWD,72,386292,349900,36392,17,65.1,71.59,3.16,100,58.6,0.24,10.32,4.28,8,3.59,1.28,0,72
267,Jack Sinclair,STK,MID,72,385870,426600,-40730,10,79.4,76.42,4.84,58.82,78.29,0.08,11.01,6.55,4.71,4.74,0.43,0,72
268,Cameron Rayner,BRI,FWD,72,385729,392900,-7171,15,73.1,70.65,3.51,88.24,79.2,0.12,10.18,4.75,7.06,4.79,0.65,0,72
269,Darcy Gardiner,BRI,DEF,72,385448,362800,22648,17,67.5,66.33,3.96,100,73.83,0,9.56,5.36,8,4.48,0.01,0,72
270,Eric Hipwood,BRI,FWD,72,385307,391300,-5993,17,72.8,68.47,3.52,100,68.71,0.11,9.87,4.76,8,4.18,0.59,0,72
271,Jamie Elliott,COL,MID,72,384464,362700,21764,16,67.5,69.94,4,94.12,70.83,0,10.08,5.41,7.53,4.31,0.01,0,72
272,Jamie Elliott,COL,FWD,72,384464,362700,21764,16,67.5,69.94,4,94.12,70.83,0,10.08,5.41,7.53,4.31,0.01,0,72
273,Aidan Corr,NME,DEF,71,383479,381100,2379,15,70.9,69.93,4.02,88.24,59,0.2,10.08,5.44,7.06,3.62,1.07,0,71
274,Damon Greaves,HAW,DEF,71,383198,389700,-6502,3,90.7,89.67,5.5,17.65,90.7,0,12.92,7.44,1.42,5.46,0.01,0,71
275,Mark O'Connor,GEE,DEF,71,382776,380800,1976,17,70.9,67.9,3.65,100,61.33,0.14,9.78,4.94,8,3.75,0.75,0,71
276,Stephen Hill,FRE,DEF,71,382776,338000,44776,12,62.9,81,4.36,70.59,65.4,0,11.67,5.9,5.65,3.99,0.01,0,71
277,Jarryn Geary,STK,DEF,71,382495,320400,62095,14,59.6,75.59,3.55,82.35,75.67,0.06,10.89,4.8,6.59,4.59,0.33,0,71
278,Ben Long,STK,DEF,71,382214,384100,-1886,14,71.5,68.53,4.2,82.35,71.33,0.13,9.88,5.68,6.59,4.33,0.7,0,71
279,Liam Jones,CAR,DEF,71,381932,387500,-5568,17,72.1,71.12,2.82,100,84.2,0,10.25,3.82,8,5.08,0.01,0,71
280,Ryan Lester,BRI,DEF,71,381792,380200,1592,13,70.8,71.07,4.22,76.47,77.6,0.07,10.24,5.71,6.12,4.7,0.38,0,71
281,Rhys Mathieson,BRI,MID,71,378698,365800,12898,1,97,96,5.01,5.88,97,0,13.83,6.78,0.48,5.83,0.01,0,71
282,Rhys Mathieson,BRI,FWD,71,378698,364800,13898,1,97,96,5.01,5.88,97,0,13.83,6.78,0.48,5.83,0.01,0,71
283,Ben Paton,STK,DEF,70,378276,344200,34076,17,64.1,60.58,4.27,100,57.57,0.16,8.73,5.78,8,3.53,0.86,0,70
284,Dylan Grimes,RIC,DEF,70,377151,382800,-5649,16,71.2,70.5,3.39,94.12,60.88,0.15,10.16,4.59,7.53,3.73,0.81,0,70
285,Brett Bewley,FRE,MID,70,377011,388200,-11189,12,72.2,71,4.83,70.59,72.2,0,10.23,6.53,5.65,4.39,0.01,0,70
286,Brett Bewley,FRE,FWD,70,377011,388200,-11189,12,72.2,71,4.83,70.59,72.2,0,10.23,6.53,5.65,4.39,0.01,0,70
287,Lincoln McCarthy,BRI,FWD,70,376448,354600,21848,15,66,67.71,3.47,88.24,70.4,0.18,9.76,4.7,7.06,4.28,0.97,0,70
288,Darcy Fort,GEE,RUC,70,375886,390700,-14814,5,80.8,79.2,5.18,29.41,80.8,0.2,11.41,7,2.36,4.89,1.07,0,70
289,Esava Ratugolea,GEE,RUC,70,375745,369400,6345,12,68.8,68.33,4.8825,70.59,68.8,0.08,9.85,6.6,5.65,4.19,0.43,0,70
290,Brent Daniels,GWS,FWD,70,375323,356600,18723,16,66.4,65.38,4.06,94.12,69.75,0,9.42,5.49,7.53,4.24,0.01,0,70
291,Lachie Henderson,GEE,DEF,70,375182,377700,-2518,10,70.3,74.36,4.21,58.82,79.67,0.14,10.71,5.69,4.71,4.82,0.75,0,70
292,Callum Ah Chee,BRI,DEF,70,374901,353300,21601,16,65.8,64.33,4.11,94.12,65.14,0.06,9.27,5.56,7.53,3.97,0.33,0,70
293,Jason Castagna,RIC,FWD,70,374620,341000,33620,17,63.5,63.27,3.91,100,64.78,0.05,9.12,5.29,8,3.95,0.28,0,70
294,Reece Conca,FRE,DEF,70,373917,370300,3617,14,68.9,67.5,4.74,82.35,63,0,9.73,6.41,6.59,3.85,0.01,0,70
295,Brody Mihocek,COL,FWD,69,373214,366000,7214,16,68.1,69.17,2.79,94.12,71.67,0.17,9.97,3.78,7.53,4.35,0.91,0,69
296,Will Day,HAW,DEF,69,373073,384400,-11327,11,71.5,70.09,4.97,64.71,74.5,0,10.1,6.72,5.18,4.52,0.01,0,69
297,Will Hoskin-Elliott,COL,FWD,69,372933,337500,35433,16,62.8,71.29,3.44,94.12,66.5,0,10.27,4.66,7.53,4.05,0.01,0,69
298,Lachie Plowman,CAR,DEF,69,372511,354900,17611,16,66.1,69.74,3.62,94.12,60,0.06,10.05,4.9,7.53,3.68,0.33,0,69
