Name,Team,Position,Price,Proj_Score,Type
James Aish,FRE,MID,404600,75,Normal
Jack Newnes,CAR,MID,401700,75,Normal
Will Brodie,GCS,MID,344900,75,Normal
Liam Baker,RIC,DEF,419100,74,Normal
Shaun Atley,NME,DEF,404200,74,Normal
Luke Breust,HAW,FWD,428100,74,Normal
Charlie Cameron,BRI,FWD,395400,74,Normal
Mitch Wallis,WBD,FWD,379900,74,Normal
Marc Pittonet,CAR,RUC,421500,74,Normal
Callum Wilkie,STK,DEF,409000,73,Normal
Oscar Allen,WCE,FWD,422100,73,Normal
Isaac Smith,GEE,FWD,397600,73,Normal
Toby McLean,WBD,FWD,366700,73,Normal
Jack Riewoldt,RIC,FWD,344500,73,Normal
Paul Seedsman,ADE,MID,429800,73,Normal
Isaac Smith,GEE,MID,397600,73,Normal
Ivan Soldo,RIC,RUC,403000,73,Normal
Brennan Cox,FRE,DEF,433500,72,Normal
Jackson Nelson,WCE,DEF,397600,72,Normal
Jordan Clark,GEE,DEF,241800,72,Normal
Michael Gibbons,CAR,FWD,401500,72,Normal
Gryan Miers,GEE,FWD,387100,72,Normal
Jamie Cripps,WCE,FWD,373600,72,Normal
Will Snelling,ESS,FWD,368500,72,Normal
Levi Casboult,CAR,FWD,349900,72,Normal
James Rowbottom,SYD,MID,405600,72,Normal
Jordan Clark,GEE,MID,241800,72,Normal
Peter Ladhams,POR,RUC,460000,72,Normal
Ethan Hughes,FRE,DEF,381800,71,Normal
Blake Hardwick,HAW,DEF,373100,71,Normal
Dougal Howard,STK,DEF,355200,71,Normal
Shaun Burgoyne,HAW,FWD,378600,71,Normal
Connor Rozee,POR,FWD,377200,71,Normal
Shane Edwards,RIC,MID,416700,71,Normal
Jimmy Webster,STK,DEF,274000,70,Normal
Aaron Hall,NME,FWD,392200,70,Normal
David Zaharakis,ESS,FWD,351400,70,Normal
Sam Reid,SYD,FWD,328300,70,Normal
Jarman Impey,HAW,FWD,212800,70,Normal
James Cousins,HAW,MID,412600,70,Normal
Jonathon Ceglar,HAW,RUC,388100,70,Normal
Jack Scrimshaw,HAW,DEF,399600,69,Normal
John Noble,COL,DEF,393300,69,Normal
Dylan Grimes,RIC,DEF,382800,69,Normal
Aidan Corr,NME,DEF,381100,69,Normal
Mark O'Connor,GEE,DEF,380800,69,Normal
Jack Higgins,STK,FWD,419600,69,Normal
Eric Hipwood,BRI,FWD,391300,69,Normal
Luke Dahlhaus,GEE,FWD,375200,69,Normal
Brody Mihocek,COL,FWD,366000,69,Normal
Bayley Fritsch,MEL,FWD,359300,69,Normal
Luke Davies-Uniacke,NME,MID,432800,69,Normal
Xavier Duursma,POR,MID,398400,69,Normal
Kamdyn McIntosh,RIC,MID,381500,69,Normal
Orazio Fantasia,POR,DEF,271800,68,Normal
Nathan Wilson,FRE,DEF,395100,68,Normal
Liam Jones,CAR,DEF,387500,68,Normal
Luke Brown,ADE,DEF,363400,68,Normal
Jarryn Geary,STK,DEF,320400,68,Normal
Jake Kelly,ADE,DEF,309800,68,Normal
Joe Daniher,BRI,FWD,233300,68,Normal
Orazio Fantasia,POR,FWD,271800,68,Normal
Peter Ladhams,POR,FWD,460000,68,Normal
Gary Rohan,GEE,FWD,392200,68,Normal
Lincoln McCarthy,BRI,FWD,354600,68,Normal
Jeremy Finlayson,GWS,FWD,346700,68,Normal
Dan Hannebery,STK,MID,338500,68,Normal
Sam Naismith,SYD,RUC,376100,68,Normal
Robbie Fox,SYD,DEF,385700,67,Normal
Ben Long,STK,DEF,384100,67,Normal
Darcy Gardiner,BRI,DEF,362800,67,Normal
Lachie Plowman,CAR,DEF,354900,67,Normal
Stephen Hill,FRE,DEF,338000,67,Normal
Matthew Kennedy,CAR,FWD,437500,67,Normal
Anthony McDonald-Tipungwuti,ESS,FWD,370400,67,Normal
Jamie Elliott,COL,FWD,362700,67,Normal
Tom McDonald,MEL,FWD,323000,67,Normal
Darcy MacPherson,GCS,FWD,306700,67,Normal
Matthew Kennedy,CAR,MID,437500,67,Normal
Jamie Elliott,COL,MID,362700,67,Normal
Bradley Hill,STK,MID,354000,67,Normal
Ryan Lester,BRI,DEF,380200,66,Normal
Lachie Henderson,GEE,DEF,377700,66,Normal
Wil Powell,GCS,DEF,358900,66,Normal
Ben Paton,STK,DEF,344200,66,Normal
Aliir Aliir,POR,DEF,321200,66,Normal
Izak Rankine,GCS,FWD,371600,66,Normal
Will Hoskin-Elliott,COL,FWD,337500,66,Normal
Patrick Lipinski,WBD,MID,429800,66,Normal
Ryan Clarke,SYD,MID,407800,66,Normal
Callum Ah Chee,BRI,DEF,353300,65,Normal
Tom Clurey,POR,DEF,335500,65,Normal
Changkuoth Jiath,HAW,DEF,266500,65,Normal
Brent Daniels,GWS,FWD,356600,65,Normal
Jason Castagna,RIC,FWD,341000,65,Normal
Taylor Walker,ADE,FWD,298200,65,Normal
Luke Dunstan,STK,MID,395400,65,Normal
Chris Mayne,COL,MID,373400,65,Normal
Darcy Fort,GEE,RUC,390700,65,Normal
David Mackay,ADE,DEF,393300,64,Normal
Damon Greaves,HAW,DEF,389700,64,Normal
Jake Carlisle,STK,DEF,372500,64,Normal
Taylin Duman,FRE,DEF,354600,64,Normal
Mason Redman,ESS,DEF,330200,64,Normal
Jack Henry,GEE,DEF,325500,64,Normal
Jarrod Harbrow,GCS,DEF,309100,64,Normal
Brett Bewley,FRE,FWD,388200,64,Normal
Rhys Mathieson,BRI,FWD,364800,64,Normal
Josh Battle,STK,FWD,362900,64,Normal
Sam Day,GCS,FWD,298300,64,Normal
Tim O'Brien,HAW,FWD,297500,64,Normal
Nathan Jones,MEL,FWD,292100,64,Normal
Brett Bewley,FRE,MID,388200,64,Normal
Rhys Mathieson,BRI,MID,365800,64,Normal
Josh Battle,STK,MID,362900,64,Normal
Nathan Jones,MEL,MID,292100,64,Normal
Esava Ratugolea,GEE,RUC,369400,64,Normal
Grant Birchall,BRI,DEF,375300,63,Normal
Noah Balta,RIC,DEF,373600,63,Normal
Lachlan Keeffe,GWS,DEF,372800,63,Normal
Reece Conca,FRE,DEF,370300,63,Normal
Harry Morrison,HAW,DEF,358500,63,Normal
Daniel Talia,ADE,DEF,354600,63,Normal
Shane McAdam,ADE,FWD,354600,63,Normal
Jake Melksham,MEL,FWD,296800,63,Normal
Justin McInerney,SYD,MID,384400,63,Normal
Harry Morrison,HAW,MID,358500,63,Normal
Andrew Phillips,ESS,RUC,353000,63,Normal
Isaac Quaynor,COL,DEF,405300,62,Normal
Will Day,HAW,DEF,384400,62,Normal
Jack Madgen,COL,DEF,380500,62,Normal
Sam Mayes,POR,DEF,342500,62,Normal
Jed Bews,GEE,DEF,341800,62,Normal
Josh Walker,NME,DEF,329600,62,Normal
Bryce Gibbs,ADE,DEF,290100,62,Normal
Jordan De Goey,COL,FWD,435200,62,Normal
Daniel Rioli,RIC,FWD,341500,62,Normal
David Cuningham,CAR,FWD,340700,62,Normal
Cameron Zurhaar,NME,FWD,337800,62,Normal
Will Hayward,SYD,FWD,327100,62,Normal
Brendon Ah Chee,WCE,FWD,310200,62,Normal
Steven Motlop,POR,FWD,308500,62,Normal
Tom Scully,HAW,FWD,290500,62,Normal
Tom Scully,HAW,MID,290500,62,Normal
Josh Jenkins,GEE,RUC,323400,62,Normal
Tom Cole,WCE,DEF,364600,61,Normal
Griffin Logue,FRE,DEF,339400,61,Normal
Alex Keath,WBD,DEF,323900,61,Normal
Zac Fisher,CAR,FWD,394200,61,Normal
Esava Ratugolea,GEE,FWD,369400,61,Normal
Elliott Himmelberg,ADE,FWD,358000,61,Normal
Jaidyn Stephenson,NME,FWD,354100,61,Normal
Nick Blakey,SYD,FWD,318700,61,Normal
George Hewett,SYD,MID,374700,61,Normal
Josh Caddy,RIC,MID,335100,61,Normal
Nick Blakey,SYD,MID,318700,61,Normal
James Sicily,HAW,DEF,552900,60,Normal
Steven May,MEL,DEF,507900,60,Normal
Bachar Houli,RIC,DEF,465600,60,Normal
Zac Williams,CAR,DEF,458600,60,Normal
Tom Doedee,ADE,DEF,457900,60,Normal
Trent Rivers,MEL,DEF,350400,60,Normal
Nathan Broad,RIC,DEF,349200,60,Normal
Taylor Duryea,WBD,DEF,342200,60,Normal
Easton Wood,WBD,DEF,297700,60,Normal
Rowan Marshall,STK,FWD,557200,60,Normal
Michael Walters,FRE,FWD,531100,60,Normal
Rory Lobb,FRE,FWD,415000,60,Normal
Taylor Duryea,WBD,FWD,342200,60,Normal
Alex Sexton,GCS,FWD,330000,60,Normal
Josh Thomas,COL,FWD,305800,60,Normal
Mitch Duncan,GEE,MID,556700,60,Normal
Michael Walters,FRE,MID,531100,60,Normal
Dion Prestia,RIC,MID,446800,60,Normal
Mitchell Hinge,ADE,MID,328800,60,Normal
Quinton Narkle,GEE,MID,310400,60,Normal
Brayden Fiorini,GCS,MID,301700,60,Normal
Rowan Marshall,STK,RUC,557200,60,Normal
Paddy Ryder,STK,RUC,505900,60,Normal
Jarrod Witts,GCS,RUC,501600,60,Normal
Sean Darcy,FRE,RUC,420100,60,Normal
Rory Lobb,FRE,RUC,415000,60,Normal
Cale Hooker,ESS,DEF,372700,59,Normal
Andrew McPherson,ADE,DEF,368300,59,Normal
Charlie Ballard,GCS,DEF,307600,59,Normal
Brandon Starcevich,BRI,DEF,307300,59,Normal
Martin Gleeson,ESS,DEF,293400,59,Normal
Phil Davis,GWS,DEF,290700,59,Normal
Sam Simpson,GEE,FWD,350600,59,Normal
Bailey Scott,NME,FWD,332300,59,Normal
Daniel Lloyd,GWS,FWD,330900,59,Normal
Nick Holman,GCS,FWD,328600,59,Normal
Max King,STK,FWD,327400,59,Normal
Sydney Stack,RIC,FWD,277600,59,Normal
Bailey Scott,NME,MID,332300,59,Normal
Sydney Stack,RIC,MID,277600,59,Normal
Sam Draper,ESS,RUC,378100,59,Normal
Adam Tomlinson,MEL,DEF,324000,58,Normal
Lachie Ash,GWS,DEF,320600,58,Normal
Michael Hartley,HAW,DEF,317800,58,Normal
Tom Williamson,CAR,DEF,313400,58,Normal
Wayne Milera,ADE,DEF,312200,58,Normal
Jordan Roughead,COL,DEF,311300,58,Normal
James Frawley,STK,DEF,295900,58,Normal
Dean Kent,STK,FWD,335200,58,Normal
Aaron Naughton,WBD,FWD,329700,58,Normal
Harry McKay,CAR,FWD,319900,58,Normal
Ed Richards,WBD,FWD,309300,58,Normal
Ben King,GCS,FWD,298700,58,Normal
Adam Tomlinson,MEL,MID,324000,58,Normal
Ed Richards,WBD,MID,309300,58,Normal
Lachlan Sholl,ADE,DEF,343200,57,Normal
Jake Kolodjashnij,GEE,DEF,330200,57,Normal
Aaron Francis,ESS,DEF,320300,57,Normal
Daniel McStay,BRI,FWD,333800,57,Normal
Josh Jenkins,GEE,FWD,323400,57,Normal
Eddie Betts,CAR,FWD,308800,57,Normal
Tyson Stengle,ADE,FWD,305300,57,Normal
Ben Brown,MEL,FWD,260300,57,Normal
Darcy Tucker,FRE,MID,347900,57,Normal
Lachlan Sholl,ADE,MID,343200,57,Normal
Riley Bonner,POR,DEF,318200,56,Normal
Sam Frost,HAW,DEF,304900,56,Normal
Jarrod Lienert,POR,DEF,289200,56,Normal
Todd Marshall,POR,FWD,377400,56,Normal
Jake Aarts,RIC,FWD,329400,56,Normal
Tom McCartin,SYD,FWD,312800,56,Normal
Josh Bruce,WBD,FWD,275000,56,Normal
Tom Cutler,ESS,MID,364700,56,Normal
Connor Blakely,FRE,MID,295000,56,Normal
Nic Newman,CAR,DEF,415400,55,Normal
Matt Guelfi,ESS,DEF,324300,55,Normal
Jack Lonie,STK,FWD,351200,55,Normal
Lachlan Murphy,ADE,FWD,328600,55,Normal
Tom Atkins,GEE,FWD,293500,55,Normal
Jackson Hately,ADE,MID,310300,55,Normal
Ben McKay,NME,DEF,333600,54,Normal
Lachie Fogarty,CAR,FWD,319100,54,Normal
Alex Neal-Bullen,MEL,FWD,310100,54,Normal
Shaun McKernan,STK,FWD,245900,54,Normal
Brayden Sier,COL,MID,313800,54,Normal
Charlie Constable,GEE,MID,266500,54,Normal
Josh Rotham,WCE,DEF,331500,53,Normal
Lewis Melican,SYD,DEF,324700,53,Normal
Dylan Clarke,ESS,FWD,348600,53,Normal
Lin Jong,WBD,FWD,318100,53,Normal
Curtis Taylor,NME,FWD,315800,53,Normal
Jake Stringer,ESS,FWD,282600,53,Normal
Dylan Clarke,ESS,MID,348600,53,Normal
Dylan Stephens,SYD,MID,337800,53,Normal
Lin Jong,WBD,MID,318100,53,Normal
Adam Kennedy,GWS,MID,300900,53,Normal
Ryan Burton,POR,DEF,318800,52,Normal
Kane Farrell,POR,FWD,309200,52,Normal
Sam Weideman,MEL,FWD,303800,52,Normal
James Stewart,ESS,FWD,295000,52,Normal
Darcy Fogarty,ADE,FWD,286400,52,Normal
Kane Farrell,POR,MID,309200,52,Normal
Tom De Koning,CAR,RUC,305500,52,Normal
Zaine Cordy,WBD,DEF,313700,51,Normal
Connor Budarick,GCS,DEF,256500,51,Normal
Bailey Dale,WBD,FWD,298500,51,Normal
Mitch Crowden,FRE,FWD,295500,51,Normal
Jack Ross,RIC,MID,333100,51,Normal
Tyler Brown,COL,MID,311000,51,Normal
Mabior Chol,RIC,RUC,327200,51,Normal
Noah Answerth,BRI,DEF,304500,50,Normal
Daniel Howe,HAW,DEF,280500,50,Normal
Jake Riccardi,GWS,FWD,336500,50,Normal
Harry Schoenberg,ADE,FWD,315600,50,Normal
Dylan Moore,HAW,FWD,302300,50,Normal
Laitham Vandermeer,WBD,FWD,278900,50,Normal
Daniel Howe,HAW,MID,280500,50,Normal
Laitham Vandermeer,WBD,MID,278900,50,Normal
David Astbury,RIC,DEF,400400,49,Normal
Tobe Watson,FRE,DEF,303700,49,Normal
Colin O'Riordan,SYD,DEF,268000,49,Normal
Mabior Chol,RIC,FWD,327200,49,Normal
Jake Waterman,WCE,FWD,323600,49,Normal
Hayden McLean,SYD,FWD,317000,49,Normal
Bobby Hill,GWS,FWD,287200,49,Normal
Mitch McGovern,CAR,FWD,283900,49,Normal
Kysaiah Pickett,MEL,FWD,256400,49,Normal
Brayden Ham,ESS,MID,277800,49,Normal
Chayce Jones,ADE,MID,236800,49,Normal
Sam Taylor,GWS,DEF,323400,48,Normal
Jay Lockhart,MEL,DEF,289600,48,Normal
Isaac Cumming,GWS,DEF,288000,48,Normal
Kyron Hayden,NME,DEF,281400,48,Normal
Brandon Zerk-Thatcher,ESS,DEF,255200,48,Normal
Mason Cox,COL,FWD,312200,48,Normal
Nick Larkey,NME,FWD,263800,48,Normal
Braydon Preuss,GWS,RUC,303000,48,Normal
Archie Smith,BRI,RUC,217100,48,Normal
Sam Wicks,SYD,FWD,316200,47,Normal
Jayden Laverde,ESS,FWD,308000,47,Normal
Roarke Smith,WBD,FWD,281400,47,Normal
Roarke Smith,WBD,MID,281400,47,Normal
Levi Greenwood,COL,MID,276800,47,Normal
Hayden Young,FRE,DEF,279400,46,Normal
Charlie Spargo,MEL,FWD,298200,46,Normal
Mitch Hannan,WBD,FWD,283600,46,Normal
Will Walker,NME,FWD,244500,46,Normal
Will Walker,NME,MID,244500,46,Normal
Luke Jackson,MEL,FWD,312500,45,Normal
Lance Franklin,SYD,FWD,312000,45,Normal
Darcy Cameron,COL,FWD,302900,45,Normal
Jarrod Brander,WCE,FWD,295500,45,Normal
Tarryn Thomas,NME,FWD,290100,45,Normal
Bailey Banfield,FRE,FWD,288200,45,Normal
Mitch Brown,MEL,FWD,280500,45,Normal
Travis Colyer,FRE,FWD,275800,45,Normal
Jack Mahony,NME,FWD,271900,45,Normal
Tom Sparrow,MEL,MID,337200,45,Normal
Jarrod Brander,WCE,MID,295500,45,Normal
Oskar Baker,MEL,MID,290100,45,Normal
Jack Payne,BRI,DEF,255100,44,Normal
Matt Taberner,FRE,FWD,403000,44,Normal
Rhylee West,WBD,FWD,278000,44,Normal
Sam Gray,SYD,FWD,276300,44,Normal
Lewis Taylor,SYD,FWD,265600,44,Normal
Bradley Close,GEE,FWD,257200,44,Normal
Jack Bytel,STK,MID,280500,44,Normal
Caleb Graham,GCS,DEF,284800,43,Normal
Ryan Gardner,WBD,DEF,232800,43,Normal
Josh Corbett,GCS,FWD,273200,43,Normal
Sam Sturt,FRE,FWD,265100,43,Normal
Jacob Townsend,GCS,FWD,238200,43,Normal
James Bell,SYD,FWD,267300,42,Normal
Brayden Ainsworth,WCE,FWD,253900,42,Normal
Oliver Hanrahan,HAW,FWD,237200,42,Normal
Brayden Ainsworth,WCE,MID,253900,42,Normal
Jack Buckley,GWS,DEF,223800,41,Normal
Billy Frampton,ADE,FWD,286100,41,Normal
Ben Ronke,SYD,FWD,275600,41,Normal
Taylor Garner,NME,FWD,267400,41,Normal
Matthew Cottrell,CAR,MID,262200,41,Normal
Jack Buckley,GWS,MID,223800,41,Normal
Kaiden Brand,SYD,DEF,245000,40,Normal
Tom J. Lynch,RIC,FWD,366700,40,Normal
Joel Smith,MEL,DEF,211100,39,Normal
Harry Himmelberg,GWS,FWD,355300,39,Normal
Aiden Bonar,NME,DEF,245400,38,Normal
Callum L. Brown,COL,FWD,349600,38,Normal
Josh J. Kennedy,WCE,FWD,346200,38,Normal
Keidean Coleman,BRI,FWD,299800,38,Normal
Boyd Woodcock,POR,FWD,261100,38,Normal
Ned McHenry,ADE,FWD,212900,38,Normal
Will Hamill,ADE,DEF,210900,37,Normal
Cameron Ellis-Yolmen,BRI,FWD,337800,37,Normal
Irving Mosquito,ESS,FWD,264700,37,Normal
Jack Silvagni,CAR,FWD,257400,37,Normal
