"","Name","Team","Position","Proj_Score","Price","adp"
"123","Lachie Weller","GCS","MID",85,436500,-10
"124","Dane Rampe","SYD","DEF",84,492300,4
"125","Ben McEvoy","HAW","DEF",84,456000,4
"126","Liam Duggan","WCE","DEF",84,448600,4
"127","Darcy Byrne-Jones","POR","DEF",84,441800,4
"128","Shai Bolton","RIC","FWD",84,462400,12
"129","Zac Bailey","BRI","FWD",84,420300,12
"130","Liam Ryan","WCE","FWD",84,409600,12
"131","Shai Bolton","RIC","MID",84,462400,-11
"132","Trent Cotchin","RIC","MID",84,443500,-11
"133","Zac Bailey","BRI","MID",84,420300,-11
"134","Dyson Heppell","ESS","MID",84,319100,-11
"135","Bailey Williams","WBD","DEF",83,452600,3
"136","Trent McKenzie","POR","DEF",83,388300,3
"137","Charlie Dixon","POR","FWD",83,498700,11
"138","Zak Butters","POR","FWD",83,471400,11
"139","Chad Wingard","HAW","FWD",83,452300,11
"140","Jared Polec","NME","MID",83,477800,-12
"141","Angus Brayshaw","MEL","MID",83,435200,-12
"142","Liam Shiels","HAW","MID",83,420100,-12
"143","Oscar McInerney","BRI","RUC",83,443400,-4
"144","Jye Caldwell","ESS","FWD",82,348600,10
"145","Toby Greene","GWS","FWD",82,448400,10
"146","Kane Lambert","RIC","FWD",82,445900,10
"147","Jack Gunston","HAW","FWD",82,438200,10
"148","Tom Phillips","HAW","FWD",82,402600,10
"149","Jeremy Cameron","GEE","FWD",82,388100,10
"150","Jye Caldwell","ESS","MID",82,348600,-13
"151","Brandon Ellis","GCS","MID",82,450600,-13
"152","Mitch Robinson","BRI","MID",82,418800,-13
"153","Tom Phillips","HAW","MID",82,402600,-13
"154","Harris Andrews","BRI","DEF",81,469700,1
"155","Alex Witherden","WCE","DEF",81,456100,1
"156","Jack Bowes","GCS","DEF",81,451300,1
"157","Hamish Hartlett","POR","DEF",81,421900,1
"158","Sam Petrevski-Seton","CAR","DEF",81,401400,1
"159","Jack Darling","WCE","FWD",81,434900,9
"160","David Swallow","GCS","MID",81,438400,-14
"161","Ben Keays","ADE","MID",81,436200,-14
"162","Jason Johannisen","WBD","DEF",80,448300,0
"163","Tom Barrass","WCE","DEF",80,447200,0
"164","Jack Lukosius","GCS","DEF",80,430800,0
"165","Josh Daicos","COL","MID",80,442200,-15
"166","Jack Sinclair","STK","MID",80,426600,-15
"167","Michael Hurley","ESS","DEF",79,431400,-1
"168","Noah Anderson","GCS","MID",79,411500,-16
"169","Marlion Pickett","RIC","MID",79,386500,-16
"170","Jeremy McGovern","WCE","DEF",78,462100,-2
"171","Nick Coffield","STK","DEF",78,426500,-2
"172","James Harmes","MEL","DEF",78,344700,-2
"173","Jack Martin","CAR","FWD",78,446300,6
"174","Tom Papley","SYD","FWD",78,428600,6
"175","Caleb Serong","FRE","MID",78,435600,-17
"176","Jack Redden","WCE","MID",78,377900,-17
"177","Hayden Crozier","WBD","DEF",77,409100,-3
"178","Michael Hibberd","MEL","DEF",77,378000,-3
"179","Tom Jonas","POR","DEF",77,373600,-3
"180","Dan Butler","STK","FWD",77,416900,5
"181","Tom Lynch","ADE","FWD",77,407900,5
"182","Brandan Parfitt","GEE","MID",77,455100,-18
"183","Jack Graham","RIC","MID",77,446400,-18
"184","Karl Amon","POR","MID",77,431400,-18
"185","Darcy Moore","COL","DEF",76,430200,-4
"186","Sam Collins","GCS","DEF",76,422500,-4
"187","Jake Lever","MEL","DEF",76,419400,-4
"188","Isaac Heeney","SYD","FWD",76,454500,4
"189","Sam Powell-Pepper","POR","FWD",76,404500,4
"190","Tim Membrey","STK","FWD",76,363700,4
"191","Jade Gresham","STK","MID",76,438100,-19
"192","Oliver Florent","SYD","MID",76,408300,-19
"193","Sam Powell-Pepper","POR","MID",76,404500,-19
"194","Dom Tyson","NME","MID",76,243900,-19
"195","Shane Mumford","GWS","RUC",76,420700,-11
"196","Callum Sinclair","SYD","RUC",76,414100,-11
"197","Stefan Martin","WBD","RUC",76,272200,-11
"198","Jacob Weitering","CAR","DEF",75,410400,-5
"199","Harry Cunningham","SYD","DEF",75,410400,-5
"200","Oleg Markov","GCS","DEF",75,314300,-5
"201","Ben Ainsworth","GCS","FWD",75,406300,3
"202","Jack Newnes","CAR","FWD",75,401700,3
"203","Will Brodie","GCS","FWD",75,344900,3
"204","Blake Acres","FRE","MID",75,453600,-20
"205","Callan Ward","GWS","MID",75,409900,-20
"206","Zach Tuohy","GEE","MID",75,405100,-20
"207","James Aish","FRE","MID",75,404600,-20
"208","Jack Newnes","CAR","MID",75,401700,-20
"209","Will Brodie","GCS","MID",75,344900,-20
"210","Liam Baker","RIC","DEF",74,419100,-6
"211","Shaun Atley","NME","DEF",74,404200,-6
