Name,Team,Position,Price,2020_Games,2020_Average,dollar_Per_Point
Xavier O'Halloran,GWS,MID,"$227,500",2,60.5,3760.3
Matt Buntine,GWS,DEF/FWD,"$225,900",0,0,0
Matt Buntine,GWS,DEF / FWD,"$225,900",0,0,0
Zac Langdon,WCE,FWD,"$224,900",7,41.9,5367.5
Jack Buckley,GWS,DEF/MID,"$223,800",2,59.5,3761.3
Jack Buckley,GWS,DEF / MID,"$223,800",2,59.5,3761.3
Daniel McKenzie,STK,DEF,"$222,300",0,0,0
Patrick Ambrose,ESS,DEF,"$217,800",0,0,0
Archie Smith,BRI,RUC,"$217,100",5,40.4,5373.8
Jack Petruccelle,WCE,FWD,"$217,100",5,40.4,5373.8
Zac Smith,GCS,RUC,"$216,000",0,0,0
Connor Idun,GWS,DEF,"$214,900",2,50,4298
Josh Schache,WBD,FWD,"$214,400",2,39,5497.4
Ned McHenry,ADE,FWD,"$212,900",8,39.6,5376.3
Jarman Impey,HAW,FWD,"$212,800",5,39.6,5373.7
Joel Smith,MEL,DEF,"$211,100",7,39.3,5371.5
Will Hamill,ADE,DEF,"$210,900",8,39.2,5380.1
Chris Burgess,GCS,DEF,"$210,000",0,0,0
Jamarra Ugle-Hagan,WBD,FWD,"$207,300",0,0,0
Keegan Brooksby,HAW,RUC/FWD,"$206,900",1,55,3761.8
Keegan Brooksby,HAW,RUC/FWD,"$206,900",1,55,3761.8
Trey Ruscoe,COL,FWD,"$206,800",4,38.5,5371.4
Riley Thilthorpe,ADE,RUC/FWD,"$202,800",0,0,0
Riley Thilthorpe,ADE,RUC/FWD,"$202,800",0,0,0
Paddy Dow,CAR,MID/FWD,"$202,400",3,37.7,5368.7
Paddy Dow,CAR,MID/FWD,"$202,400",3,37.7,5368.7
Lachie Young,NME,DEF/MID,"$202,000",2,47,4297.9
Lachie Young,NME,DEF / MID,"$202,000",2,47,4297.9
Connor Menadue,NME,DEF,"$201,500",0,0,0
Jake Stein,GWS,DEF,"$200,100",0,0,0
Mitch Lewis,HAW,FWD,"$199,500",8,37.1,5377.4
Fischer Mcasey,ADE,DEF/FWD,"$199,300",10,37.1,5372
Fischer Mcasey,ADE,DEF / FWD,"$199,300",10,37.1,5372
Will Phillips,NME,MID,"$198,300",0,0,0
Lewis Young,WBD,DEF,"$198,300",0,0,0
Finn Maginness,HAW,MID,"$195,600",1,52,3761.5
Joel Amartey,SYD,RUC/FWD,"$195,600",1,52,3761.5
Joel Amartey,SYD,RUC/FWD,"$195,600",1,52,3761.5
Ben Cavarra,WBD,FWD,"$194,900",3,45.3,4302.4
Logan McDonald,SYD,FWD,"$193,800",0,0,0
Bailey J. Williams,WCE,RUC/FWD,"$193,400",3,45,4297.8
Bailey J. Williams,WCE,RUC/FWD,"$193,400",3,45,4297.8
Conor Nash,HAW,FWD,"$193,400",2,40,4835
Flynn Perez,NME,DEF,"$193,400",3,45,4297.8
Sam Flanders,GCS,FWD,"$192,300",5,35.8,5371.5
Ben Davis,ADE,FWD,"$191,800",1,51,3760.8
Louis Butler,WBD,DEF,"$191,800",2,51,3760.8
Joel Garner,POR,DEF,"$189,900",0,0,0
Jonathon Patton,HAW,FWD,"$189,800",6,35.3,5376.8
Braeden Campbell,SYD,MID/FWD,"$189,300",0,0,0
Braeden Campbell,SYD,MID/FWD,"$189,300",0,0,0
Ryan Garthwaite,RIC,DEF,"$188,000",0,0,0
Liam Stocker,CAR,DEF,"$186,500",0,0,0
Neville Jetta,MEL,DEF,"$186,300",6,34.7,5368.9
Denver Grainger-Barras,HAW,DEF,"$184,800",0,0,0
Liam Henry,FRE,FWD,"$184,500",3,34.3,5379
Jy Farrar,GCS,FWD,"$184,300",1,49,3761.2
Jamaine Jones,WCE,FWD,"$182,400",2,48.5,3760.8
Tyson Goldsack,POR,DEF,"$182,000",0,0,0
Lochie O'Brien,CAR,MID,"$180,500",1,42,4297.6
Zach Guthrie,GEE,DEF/MID,"$180,500",3,42,4297.6
Patrick Naish,RIC,MID,"$180,500",1,42,4297.6
Zach Guthrie,GEE,DEF / MID,"$180,500",3,42,4297.6
Elijah Hollands,GCS,MID/FWD,"$180,300",0,0,0
Elijah Hollands,GCS,MID/FWD,"$180,300",0,0,0
Daniel Venables,WCE,FWD,"$179,900",0,0,0
Darragh Joyce,STK,DEF,"$177,300",0,0,0
Deven Robertson,BRI,MID/FWD,"$176,800",1,47,3761.7
Deven Robertson,BRI,MID/FWD,"$176,800",1,47,3761.7
Jordon Butts,ADE,DEF,"$176,800",2,47,3761.7
Nikolas Cox,ESS,DEF/FWD,"$175,800",0,0,0
Nikolas Cox,ESS,DEF / FWD,"$175,800",0,0,0
Minairo Frederick,FRE,FWD,"$175,700",10,32.7,5373.1
Atu Bosenavulagi,NME,FWD,"$175,500",3,32.7,5367
Cody Weightman,WBD,FWD,"$173,700",3,32.3,5377.7
Archie Perkins,ESS,MID/FWD,"$171,300",0,0,0
Archie Perkins,ESS,MID/FWD,"$171,300",0,0,0
Sam Philp,CAR,FWD,"$171,100",2,45.5,3760.4
Zach Reid,ESS,DEF,"$166,800",0,0,0
Jayden Hunt,MEL,FWD,"$163,300",6,49,3332.7
Matthew Ling,SYD,DEF,"$163,000",3,30.3,5379.5
Luke Pedlar,ADE,MID,"$162,300",0,0,0
Callum Coleman-Jones,RIC,RUC/FWD,"$161,200",0,0,0
Ned Cahill,ESS,FWD,"$161,200",3,30,5373.3
Kade Chandler,MEL,FWD,"$161,200",0,0,0
Callum Coleman-Jones,RIC,RUC/FWD,"$161,200",0,0,0
Mark Keane,COL,DEF,"$158,000",1,42,3761.9
Tanner Bruhn,GWS,MID,"$157,800",0,0,0
Mark Hutchings,WCE,MID/FWD,"$157,600",3,29.3,5378.8
Mark Hutchings,WCE,MID/FWD,"$157,600",3,29.3,5378.8
Tom Campbell,NME,RUC/FWD,"$154,700",1,36,4297.2
Tom Campbell,NME,RUC/FWD,"$154,700",1,36,4297.2
Jarrod Cameron,WCE,FWD,"$153,700",5,28.6,5374.1
Tom Powell,NME,MID,"$153,300",0,0,0
Heath Chapman,FRE,DEF,"$148,800",0,0,0
Kieran Strachan,ADE,RUC/FWD,"$146,700",1,39,3761.5
Kieran Strachan,ADE,RUC/FWD,"$146,700",1,39,3761.5
Thomson Dow,RIC,MID,"$146,100",2,34,4297.1
Connor Ballenden,BRI,FWD,"$146,100",2,34,4297.1
Josh Morris,HAW,FWD,"$145,100",4,27,5374.1
Conor Stone,GWS,FWD,"$144,300",0,0,0
Chad Warner,SYD,FWD,"$144,000",2,33.5,4298.5
Jeremy Sharp,GCS,MID,"$141,800",2,33,4297
Lachlan Jones,POR,DEF,"$139,800",0,0,0
Dylan Roberton,STK,DEF,"$139,700",1,26,5373.1
Ben Jarvis,GEE,DEF/FWD,"$139,200",1,37,3762.2
Ben Jarvis,GEE,DEF / FWD,"$139,200",1,37,3762.2
Toby Bedford,MEL,FWD,"$137,000",2,25.5,5372.5
Tom Hutchesson,GWS,MID/FWD,"$135,400",1,36,3761.1
Will Kelly,COL,FWD,"$135,400",1,36,3761.1
Tom Hutchesson,GWS,MID/FWD,"$135,400",1,36,3761.1
Oliver Henry,COL,FWD,"$135,300",0,0,0
Ryan Angwin,GWS,MID,"$130,800",0,0,0
Tom Fullarton,BRI,RUC/FWD,"$128,900",2,30,4296.7
Tom Fullarton,BRI,RUC/FWD,"$128,900",2,30,4296.7
Luke Foley,WCE,DEF,"$127,900",1,34,3761.8
Finlay Macrae,COL,MID/FWD,"$126,300",0,0,0
Finlay Macrae,COL,MID/FWD,"$126,300",0,0,0
Ryan Byrnes,STK,MID,"$123,900",1,22,5631.8
Josh Honey,CAR,MID/FWD,"$123,900",1,16,7743.8
Lachlan Gollant,ADE,DEF/MID,"$123,900",0,0,0
Ronin O'Connor,ADE,MID,"$123,900",0,0,0
Nakia Cockatoo,BRI,MID/FWD,"$123,900",0,0,0
Tom Joyce,BRI,MID/FWD,"$123,900",0,0,0
Ely Smith,BRI,MID/FWD,"$123,900",0,0,0
Brodie Kemp,CAR,MID,"$123,900",0,0,0
Sam Ramsay,CAR,MID,"$123,900",0,0,0
Trent Bianco,COL,DEF/MID,"$123,900",0,0,0
Jay Rantall,COL,MID,"$123,900",0,0,0
Tom Hird,ESS,MID,"$123,900",0,0,0
Lachlan Johnson,ESS,MID/FWD,"$123,900",0,0,0
Stefan Giro,FRE,MID,"$123,900",0,0,0
Luke Valente,FRE,MID,"$123,900",0,0,0
Cooper Stephens,GEE,MID,"$123,900",0,0,0
Nick Shipley,GWS,MID,"$123,900",0,0,0
James Jordon,MEL,MID,"$123,900",0,0,0
Aaron Nietschke,MEL,MID,"$123,900",0,0,0
Trent Burgoyne,POR,MID/FWD,"$123,900",0,0,0
Jackson Mead,POR,MID,"$123,900",0,0,0
Dylan Williams,POR,MID/FWD,"$123,900",0,0,0
Riley Collier-Dawkins,RIC,MID,"$123,900",0,0,0
Noah Cumberland,RIC,MID/FWD,"$123,900",0,0,0
Will Martyn,RIC,MID,"$123,900",0,0,0
Hugo Ralphsmith,RIC,MID/FWD,"$123,900",0,0,0
Leo Connolly,STK,DEF/MID,"$123,900",0,0,0
Riley Garcia,WBD,MID,"$123,900",0,0,0
Max Lynch,COL,RUC/FWD,"$123,900",1,22,5631.8
Nick Bryan,ESS,RUC,"$123,900",0,0,0
Lloyd Meek,FRE,RUC,"$123,900",0,0,0
Matt Conroy,GCS,RUC,"$123,900",0,0,0
Matt Flynn,GWS,RUC,"$123,900",0,0,0
Ned Reeves,HAW,RUC,"$123,900",0,0,0
Austin Bradtke,MEL,RUC,"$123,900",0,0,0
Charlie Comben,NME,RUC/FWD,"$123,900",0,0,0
Sam Hayes,POR,RUC,"$123,900",0,0,0
Bigoa Nyuon,RIC,DEF/RUC,"$123,900",0,0,0
Sam Alabakis,STK,RUC,"$123,900",0,0,0
Callum Jamieson,WCE,RUC,"$123,900",0,0,0
Jordon Sweet,WBD,RUC,"$123,900",0,0,0
Harrison Jones,ESS,FWD,"$123,900",0,0,0
Max Lynch,COL,RUC/FWD,"$123,900",1,22,5631.8
Josh Honey,CAR,MID/FWD,"$123,900",1,16,7743.8
Matthew Owies,CAR,FWD,"$123,900",1,15,8260
Josh Worrell,ADE,DEF/FWD,"$123,900",0,0,0
Nakia Cockatoo,BRI,MID/FWD,"$123,900",0,0,0
Tom Joyce,BRI,MID/FWD,"$123,900",0,0,0
James Madden,BRI,DEF/FWD,"$123,900",0,0,0
Connor McFadyen,BRI,FWD,"$123,900",0,0,0
Ely Smith,BRI,MID/FWD,"$123,900",0,0,0
Anton Tohill,COL,FWD,"$123,900",0,0,0
Tom Wilson,COL,FWD,"$123,900",0,0,0
Lachlan Johnson,ESS,MID/FWD,"$123,900",0,0,0
Ross McQuillan,ESS,DEF/FWD,"$123,900",0,0,0
Oscar Brownless,GEE,FWD,"$123,900",0,0,0
Francis Evans,GEE,FWD,"$123,900",0,0,0
Nathan Kreuger,GEE,FWD,"$123,900",0,0,0
Cameron Taheny,GEE,FWD,"$123,900",0,0,0
Patrick Murtagh,GCS,FWD,"$123,900",0,0,0
Malcolm Rosas,GCS,FWD,"$123,900",0,0,0
Kieren Briggs,GWS,DEF/FWD,"$123,900",0,0,0
Zach Sproule,GWS,FWD,"$123,900",0,0,0
Emerson Jeka,HAW,FWD,"$123,900",0,0,0
Charlie Comben,NME,RUC/FWD,"$123,900",0,0,0
Miles Bergman,POR,FWD,"$123,900",0,0,0
Trent Burgoyne,POR,MID/FWD,"$123,900",0,0,0
Dylan Williams,POR,MID/FWD,"$123,900",0,0,0
Noah Cumberland,RIC,MID/FWD,"$123,900",0,0,0
Hugo Ralphsmith,RIC,MID/FWD,"$123,900",0,0,0
Barry O'Connor,SYD,DEF/FWD,"$123,900",0,0,0
Harry Edwards,WCE,DEF,"$123,900",1,10,12390
Lachlan Gollant,ADE,DEF / MID,"$123,900",0,0,0
Josh Worrell,ADE,DEF / FWD,"$123,900",0,0,0
James Madden,BRI,DEF / FWD,"$123,900",0,0,0
Jaxon Prior,BRI,DEF,"$123,900",0,0,0
Brock Smith,BRI,DEF,"$123,900",0,0,0
Trent Bianco,COL,DEF / MID,"$123,900",0,0,0
Nathan Murphy,COL,DEF,"$123,900",0,0,0
Cian McBride,ESS,DEF,"$123,900",0,0,0
Ross McQuillan,ESS,DEF / FWD,"$123,900",0,0,0
Leno Thomas,FRE,DEF,"$123,900",0,0,0
Sam De Koning,GEE,DEF,"$123,900",0,0,0
Stefan Okunbor,GEE,DEF,"$123,900",0,0,0
Jez McLennan,GCS,DEF,"$123,900",0,0,0
Rory Thompson,GCS,DEF,"$123,900",0,0,0
Luke Towey,GCS,DEF,"$123,900",0,0,0
Kieren Briggs,GWS,DEF / FWD,"$123,900",0,0,0
Callum M. Brown,GWS,DEF,"$123,900",0,0,0
Jacob Koschitzke,HAW,DEF,"$123,900",0,0,0
Harry Pepper,HAW,DEF,"$123,900",0,0,0
Matt McGuinness,NME,DEF,"$123,900",0,0,0
Martin Frederick,POR,DEF,"$123,900",0,0,0
Jake Pasini,POR,DEF,"$123,900",0,0,0
Ben Miller,RIC,DEF,"$123,900",0,0,0
Bigoa Nyuon,RIC,DEF / RUC,"$123,900",0,0,0
Oscar Clavarino,STK,DEF,"$123,900",0,0,0
Leo Connolly,STK,DEF / MID,"$123,900",0,0,0
Will Gould,SYD,DEF,"$123,900",0,0,0
Barry O'Connor,SYD,DEF / FWD,"$123,900",0,0,0
Ben Johnson,WCE,DEF,"$123,900",0,0,0
Buku Khamis,WBD,DEF,"$123,900",0,0,0
Max Holmes,GEE,MID/FWD,"$121,800",0,0,0
Max Holmes,GEE,MID/FWD,"$121,800",0,0,0
Sam Berry,ADE,MID,"$117,300",0,0,0
Brayden Cook,ADE,MID/FWD,"$117,300",0,0,0
Harry Sharp,BRI,DEF/MID,"$117,300",0,0,0
Reef McInnes,COL,MID,"$117,300",0,0,0
Caleb Poulter,COL,MID/FWD,"$117,300",0,0,0
Nathan O'Driscoll,FRE,MID,"$117,300",0,0,0
Joel Western,FRE,MID,"$117,300",0,0,0
Tyler Brockman,HAW,MID/FWD,"$117,300",0,0,0
Connor Downie,HAW,MID,"$117,300",0,0,0
Jake Bowey,MEL,MID/FWD,"$117,300",0,0,0
Fraser Rosman,MEL,MID/FWD,"$117,300",0,0,0
Charlie Lazzaro,NME,MID,"$117,300",0,0,0
Phoenix Spicer,NME,MID/FWD,"$117,300",0,0,0
Maurice Rioli,RIC,MID/FWD,"$117,300",0,0,0
Errol Gulden,SYD,MID,"$117,300",0,0,0
Luke Edwards,WCE,MID,"$117,300",0,0,0
Isiah Winder,WCE,DEF/MID,"$117,300",0,0,0
Henry Smith,BRI,RUC,"$117,300",0,0,0
Shannon Neale,GEE,RUC/FWD,"$117,300",0,0,0
Samson Ryan,RIC,RUC,"$117,300",0,0,0
Brayden Cook,ADE,MID/FWD,"$117,300",0,0,0
James Rowe,ADE,FWD,"$117,300",0,0,0
Corey Durdin,CAR,MID/FWD,"$117,300",0,0,0
Beau McCreery,COL,FWD,"$117,300",0,0,0
Liam McMahon,COL,FWD,"$117,300",0,0,0
Caleb Poulter,COL,MID/FWD,"$117,300",0,0,0
Joshua Eyre,ESS,DEF/FWD,"$117,300",0,0,0
Shannon Neale,GEE,RUC/FWD,"$117,300",0,0,0
Tyler Brockman,HAW,MID/FWD,"$117,300",0,0,0
Seamus Mitchell,HAW,FWD,"$117,300",0,0,0
Jake Bowey,MEL,MID/FWD,"$117,300",0,0,0
Bailey Laurie,MEL,DEF/FWD,"$117,300",0,0,0
Fraser Rosman,MEL,MID/FWD,"$117,300",0,0,0
Eddie Ford,NME,FWD,"$117,300",0,0,0
Phoenix Spicer,NME,MID/FWD,"$117,300",0,0,0
Ollie Lord,POR,FWD,"$117,300",0,0,0
Maurice Rioli,RIC,MID/FWD,"$117,300",0,0,0
Matthew Allison,STK,FWD,"$117,300",0,0,0
Dominic Bedendo,WBD,FWD,"$117,300",0,0,0
Harry Sharp,BRI,DEF / MID,"$117,300",0,0,0
Cody Brand,ESS,DEF,"$117,300",0,0,0
Joshua Eyre,ESS,DEF / FWD,"$117,300",0,0,0
Brandon Walker,FRE,DEF,"$117,300",0,0,0
Cameron Fleeton,GWS,DEF,"$117,300",0,0,0
Jacob Wehr,GWS,DEF,"$117,300",0,0,0
Bailey Laurie,MEL,DEF / FWD,"$117,300",0,0,0
Thomas Highmore,STK,DEF,"$117,300",0,0,0
Isiah Winder,WCE,DEF / MID,"$117,300",0,0,0
Jack Carroll,CAR,MID,"$117,200",0,0,0
Corey Durdin,CAR,MID/FWD,"$117,200",0,0,0
Blake Coleman,BRI,FWD,"$117,200",0,0,0
Nick Stevens,GEE,DEF,"$117,200",0,0,0
Tariek Newchurch,ADE,MID/FWD,"$102,400",0,0,0
Carter Michael,BRI,MID,"$102,400",0,0,0
Jack Ginnivan,COL,MID/FWD,"$102,400",0,0,0
