Name,Team,Position,Price,2020_Games,2020_Average,dollar_Per_Point
Caleb Daniel,WBD,DEF,"$545,500",17,101.5,5374.4
Callum Mills,SYD,DEF,"$544,800",15,101.4,5372.8
Andrew Brayshaw,FRE,MID,"$544,200",17,101.3,5372.2
Trent Dumont,NME,MID,"$543,300",17,101.2,5368.6
Sam Walsh,CAR,MID,"$543,300",17,101.1,5373.9
Dustin Martin,RIC,MID/FWD,"$541,600",16,100.8,5373
Dustin Martin,RIC,MID/FWD,"$541,600",16,100.8,5373
Tom Stewart,GEE,DEF,"$538,000",14,100.1,5374.6
Jack Viney,MEL,MID,"$534,900",16,99.6,5370.5
Jack Crisp,COL,DEF,"$533,200",17,99.2,5375
Mark Blicavs,GEE,DEF/MID,"$531,600",17,98.9,5375.1
Mark Blicavs,GEE,DEF / MID,"$531,600",17,98.9,5375.1
Michael Walters,FRE,MID/FWD,"$531,100",14,98.9,5370.1
Michael Walters,FRE,MID/FWD,"$531,100",14,98.9,5370.1
Stephen Coniglio,GWS,MID,"$528,900",16,98.4,5375
Nick Haynes,GWS,DEF,"$528,400",17,98.4,5369.9
Adam Saad,CAR,DEF,"$526,200",17,97.9,5374.9
Dayne Zorko,BRI,MID/FWD,"$525,800",15,97.9,5370.8
Dayne Zorko,BRI,MID/FWD,"$525,800",15,97.9,5370.8
Patrick Cripps,CAR,MID,"$523,700",17,97.5,5371.3
Jarrod Berry,BRI,MID,"$521,500",15,97.1,5370.8
Scott Lycett,POR,RUC,"$520,700",13,96.9,5373.6
Jayden Short,RIC,DEF,"$519,300",17,96.6,5375.8
Jeremy Howe,COL,DEF,"$517,900",4,120.5,4297.9
Tim Kelly,WCE,MID,"$517,400",17,96.3,5372.8
Jack Billings,STK,MID,"$514,800",17,95.8,5373.7
Josh P. Kennedy,SYD,MID,"$513,500",12,95.6,5371.3
Luke McDonald,NME,DEF,"$512,900",17,95.5,5370.7
Ed Curnow,CAR,MID,"$512,600",17,95.4,5373.2
Shaun Higgins,GEE,MID,"$510,400",17,95,5372.6
Andrew McGrath,ESS,MID,"$510,000",14,94.9,5374.1
Luke Shuey,WCE,MID,"$508,600",12,94.7,5370.6
Steven May,MEL,DEF,"$507,900",17,94.5,5374.6
Paddy Ryder,STK,RUC,"$505,900",13,94.2,5370.5
Harry Perryman,GWS,MID,"$505,000",16,94,5372.3
David Mundy,FRE,MID,"$502,000",16,93.4,5374.7
Jarrod Witts,GCS,RUC,"$501,600",17,93.4,5370.4
Jy Simpkin,NME,MID,"$499,700",17,93,5373.1
Charlie Dixon,POR,FWD,"$498,700",16,92.8,5373.9
Sam Docherty,CAR,DEF,"$496,000",16,92.3,5373.8
Matt Rowell,GCS,MID,"$495,100",5,102.4,4835
Zak Jones,STK,MID,"$494,700",14,92.1,5371.3
Bailey Smith,WBD,MID,"$494,600",17,92.1,5370.2
Brad Sheppard,WCE,DEF,"$492,700",17,91.7,5373
Dane Rampe,SYD,DEF,"$492,300",11,91.6,5374.5
Robbie Gray,POR,FWD,"$491,100",17,91.4,5373.1
Dan Houston,POR,DEF,"$489,300",15,91.1,5371
Jacob Hopper,GWS,MID,"$488,600",17,90.9,5375.1
Jaeger O'Meara,HAW,MID,"$488,000",12,90.8,5374.4
Ed Langdon,MEL,MID,"$487,300",17,90.7,5372.7
Jordan Dawson,SYD,DEF,"$485,700",16,85.4,5687.4
Adam Cerra,FRE,MID,"$484,800",17,90.2,5374.7
Nick Vlastuin,RIC,DEF,"$483,500",16,90,5372.2
Daniel Rich,BRI,DEF,"$483,100",13,89.9,5373.7
Elliot Yeo,WCE,MID,"$483,000",10,89.9,5372.6
Will Setterfield,CAR,MID,"$481,900",16,89.7,5372.4
Dom Sheed,WCE,MID,"$478,500",16,89.1,5370.4
Jared Polec,NME,MID,"$477,800",13,88.9,5374.6
Shannon Hurn,WCE,DEF,"$477,800",16,88.9,5374.6
James Worpel,HAW,MID,"$474,200",15,88.3,5370.3
Rory Sloane,ADE,MID,"$471,900",12,87.8,5374.7
Zak Butters,POR,FWD,"$471,400",15,87.7,5375.1
Harris Andrews,BRI,DEF,"$469,700",14,87.4,5374.1
Christian Salem,MEL,DEF,"$469,100",16,87.3,5373.4
Darcy Parish,ESS,MID,"$465,800",17,86.7,5372.5
Bachar Houli,RIC,DEF,"$465,600",9,86.7,5370.2
Robbie Tarrant,NME,DEF,"$463,100",16,86.2,5372.4
Shai Bolton,RIC,MID/FWD,"$462,400",15,86.1,5370.5
Shai Bolton,RIC,MID/FWD,"$462,400",15,86.1,5370.5
Jeremy McGovern,WCE,DEF,"$462,100",11,86,5373.3
Peter Ladhams,POR,RUC/FWD,"$460,000",8,85.6,5373.8
Peter Ladhams,POR,RUC/FWD,"$460,000",8,85.6,5373.8
Zac Williams,CAR,DEF,"$458,600",11,85.4,5370
Devon Smith,ESS,MID,"$458,000",16,85.2,5375.6
Tom Doedee,ADE,DEF,"$457,900",9,85.2,5374.4
Alex Witherden,WCE,DEF,"$456,100",6,94.3,4836.7
Ben McEvoy,HAW,DEF/RUC,"$456,000",16,84.9,5371
Ben McEvoy,HAW,DEF / RUC,"$456,000",16,84.9,5371
Brandan Parfitt,GEE,MID,"$455,100",14,84.7,5373.1
Isaac Heeney,SYD,FWD,"$454,500",6,94,4835.1
Tim Taranto,GWS,MID,"$453,700",11,84.5,5369.2
Blake Acres,FRE,MID,"$453,600",7,84.4,5374.4
Bailey Williams,WBD,DEF,"$452,600",17,84.2,5375.3
Chad Wingard,HAW,FWD,"$452,300",17,84.2,5371.7
Jack Bowes,GCS,DEF,"$451,300",17,84,5372.6
Brandon Ellis,GCS,MID,"$450,600",16,83.9,5370.7
Brad Crouch,STK,MID,"$448,600",12,83.5,5372.5
Liam Duggan,WCE,DEF,"$448,600",16,83.5,5372.5
Toby Greene,GWS,FWD,"$448,400",13,83.5,5370.1
Jason Johannisen,WBD,DEF,"$448,300",16,83.4,5375.3
Tom Barrass,WCE,DEF,"$447,200",17,83.2,5375
Dion Prestia,RIC,MID,"$446,800",5,92.4,4835.5
Jack Graham,RIC,MID,"$446,400",12,83.1,5371.8
Jack Martin,CAR,FWD,"$446,300",15,83.1,5370.6
Kane Lambert,RIC,FWD,"$445,900",16,83,5372.3
Joel Selwood,GEE,MID,"$445,000",11,82.8,5374.4
Marc Murphy,CAR,MID,"$444,700",17,82.8,5370.8
Trent Cotchin,RIC,MID,"$443,500",13,82.5,5375.8
Oscar McInerney,BRI,RUC,"$443,400",17,82.5,5374.5
Toby Nankervis,RIC,RUC,"$442,900",7,82.4,5375
Josh Daicos,COL,MID,"$442,200",16,82.3,5373
Darcy Byrne-Jones,POR,DEF,"$441,800",17,82.2,5374.7
Ben Cunnington,NME,MID,"$439,800",3,102.3,4299.1
Hunter Clark,STK,DEF,"$438,900",16,81.7,5372.1
David Swallow,GCS,MID,"$438,400",15,81.6,5372.5
Brodie Smith,ADE,DEF/MID,"$438,200",16,81.6,5370.1
Jack Gunston,HAW,FWD,"$438,200",16,81.6,5370.1
Brodie Smith,ADE,DEF / MID,"$438,200",16,81.6,5370.1
Jade Gresham,STK,MID,"$438,100",11,81.5,5375.5
Matthew Kennedy,CAR,MID/FWD,"$437,500",7,81.4,5374.7
Matthew Kennedy,CAR,MID/FWD,"$437,500",7,81.4,5374.7
Kyle Langford,ESS,MID/FWD,"$436,900",16,81.3,5373.9
Kyle Langford,ESS,MID/FWD,"$436,900",16,81.3,5373.9
Lachie Weller,GCS,MID,"$436,500",17,81.2,5375.6
Ben Keays,ADE,MID,"$436,200",16,81.2,5371.9
Caleb Serong,FRE,MID,"$435,600",14,81.1,5371.1
Angus Brayshaw,MEL,MID,"$435,200",14,81,5372.8
Jordan De Goey,COL,FWD,"$435,200",8,81,5372.8
Jack Darling,WCE,FWD,"$434,900",17,80.9,5375.8
Brennan Cox,FRE,DEF,"$433,500",13,80.7,5371.7
Luke Davies-Uniacke,NME,MID,"$432,800",9,80.6,5369.7
Karl Amon,POR,MID,"$431,400",17,80.3,5372.4
Michael Hurley,ESS,DEF,"$431,400",14,80.3,5372.4
Jack Lukosius,GCS,DEF,"$430,800",17,80.2,5371.6
Darcy Moore,COL,DEF,"$430,200",16,80.1,5370.8
Paul Seedsman,ADE,MID,"$429,800",9,80,5372.5
Patrick Lipinski,WBD,MID,"$429,800",12,80,5372.5
Tom Papley,SYD,FWD,"$428,600",17,79.8,5370.9
Luke Breust,HAW,FWD,"$428,100",13,81.5,5252.8
Jack Sinclair,STK,MID,"$426,600",10,79.4,5372.8
Nick Coffield,STK,DEF,"$426,500",16,79.4,5371.5
Sam Collins,GCS,DEF,"$422,500",17,78.6,5375.3
Oscar Allen,WCE,FWD,"$422,100",14,78.6,5370.2
Hamish Hartlett,POR,DEF,"$421,900",17,78.5,5374.5
Marc Pittonet,CAR,RUC,"$421,500",13,78.5,5369.4
Shane Mumford,GWS,RUC,"$420,700",10,78.3,5372.9
Zac Bailey,BRI,MID/FWD,"$420,300",17,78.2,5374.7
Zac Bailey,BRI,MID/FWD,"$420,300",17,78.2,5374.7
Liam Shiels,HAW,MID,"$420,100",16,78.2,5372.1
Sean Darcy,FRE,RUC,"$420,100",15,78.2,5372.1
Jack Higgins,STK,FWD,"$419,600",10,78.1,5372.6
Jake Lever,MEL,DEF,"$419,400",17,78.1,5370
Liam Baker,RIC,DEF,"$419,100",16,78,5373.1
Mitch Robinson,BRI,MID,"$418,800",17,77.9,5376.1
Sebastian Ross,STK,MID,"$417,900",14,77.8,5371.5
Dan Butler,STK,FWD,"$416,900",17,77.7,5365.5
Shane Edwards,RIC,MID,"$416,700",6,86.2,4834.1
Nic Newman,CAR,DEF,"$415,400",2,23.5,17676.6
Rory Lobb,FRE,RUC/FWD,"$415,000",17,77.2,5375.6
Rory Lobb,FRE,RUC/FWD,"$415,000",17,77.2,5375.6
Callum Sinclair,SYD,RUC,"$414,100",13,77.1,5370.9
James Cousins,HAW,MID,"$412,600",6,85.3,4837
Noah Anderson,GCS,MID,"$411,500",17,76.6,5372.1
Jacob Weitering,CAR,DEF,"$410,400",17,74.7,5494
Harry Cunningham,SYD,DEF,"$410,400",17,74.7,5494
Callan Ward,GWS,MID,"$409,900",7,76.3,5372.2
Liam Ryan,WCE,FWD,"$409,600",17,76.2,5375.3
Hayden Crozier,WBD,DEF,"$409,100",14,76.1,5375.8
Callum Wilkie,STK,DEF,"$409,000",17,76.1,5374.5
Oliver Florent,SYD,MID,"$408,300",17,76,5372.4
Tom Lynch,ADE,FWD,"$407,900",13,75.9,5374.2
Ryan Clarke,SYD,MID,"$407,800",10,75.9,5372.9
Ben Ainsworth,GCS,FWD,"$406,300",16,75.6,5374.3
James Rowbottom,SYD,MID,"$405,600",16,75.5,5372.2
Isaac Quaynor,COL,DEF,"$405,300",9,75.4,5375.3
Zach Tuohy,GEE,MID,"$405,100",15,75.4,5372.7
James Aish,FRE,MID,"$404,600",16,75.3,5373.2
Sam Powell-Pepper,POR,MID/FWD,"$404,500",17,75.3,5371.8
Sam Powell-Pepper,POR,MID/FWD,"$404,500",17,75.3,5371.8
Shaun Atley,NME,DEF,"$404,200",17,75.2,5375
Ivan Soldo,RIC,RUC,"$403,000",14,75,5373.3
Matt Taberner,FRE,FWD,"$403,000",16,75,5373.3
Tom Phillips,HAW,MID/FWD,"$402,600",15,74.9,5375.2
Tom Phillips,HAW,MID/FWD,"$402,600",15,74.9,5375.2
Jack Newnes,CAR,MID/FWD,"$401,700",17,74.8,5370.3
Jack Newnes,CAR,MID/FWD,"$401,700",17,74.8,5370.3
Michael Gibbons,CAR,FWD,"$401,500",15,74.7,5374.8
Sam Petrevski-Seton,CAR,DEF,"$401,400",16,74.7,5373.5
David Astbury,RIC,DEF,"$400,400",5,82.8,4835.7
Jack Scrimshaw,HAW,DEF,"$399,600",13,74.4,5371
Xavier Duursma,POR,MID,"$398,400",13,74.2,5369.3
Isaac Smith,GEE,MID/FWD,"$397,600",10,74,5373
Isaac Smith,GEE,MID/FWD,"$397,600",10,74,5373
Jackson Nelson,WCE,DEF,"$397,600",14,74,5373
Luke Dunstan,STK,MID,"$395,400",1,92,4297.8
Charlie Cameron,BRI,FWD,"$395,400",17,73.6,5372.3
Nathan Wilson,FRE,DEF,"$395,100",15,73.5,5375.5
Zac Fisher,CAR,FWD,"$394,200",8,73.4,5370.6
David Mackay,ADE,DEF,"$393,300",10,73.2,5373
John Noble,COL,DEF,"$393,300",15,73.2,5373
Cameron Rayner,BRI,FWD,"$392,900",15,73.1,5374.8
Gary Rohan,GEE,FWD,"$392,200",15,73,5372.6
Aaron Hall,NME,FWD,"$392,200",15,73,5372.6
Eric Hipwood,BRI,FWD,"$391,300",17,72.8,5375
Darcy Fort,GEE,RUC,"$390,700",5,80.8,4835.4
Damon Greaves,HAW,DEF,"$389,700",3,90.7,4296.6
Trent McKenzie,POR,DEF,"$388,300",15,72.3,5370.7
Brett Bewley,FRE,MID/FWD,"$388,200",12,72.2,5376.7
Brett Bewley,FRE,MID/FWD,"$388,200",12,72.2,5376.7
Jonathon Ceglar,HAW,RUC,"$388,100",13,72.2,5375.3
Jeremy Cameron,GEE,FWD,"$388,100",17,72.2,5375.3
Liam Jones,CAR,DEF,"$387,500",17,72.1,5374.5
Gryan Miers,GEE,FWD,"$387,100",17,72.1,5368.9
Marlion Pickett,RIC,MID,"$386,500",15,71.9,5375.5
Robbie Fox,SYD,DEF,"$385,700",14,71.8,5371.9
Justin McInerney,SYD,MID,"$384,400",9,71.6,5368.7
Will Day,HAW,DEF,"$384,400",11,71.5,5376.2
Ben Long,STK,DEF,"$384,100",14,71.5,5372
Dylan Grimes,RIC,DEF,"$382,800",16,71.2,5376.4
Ethan Hughes,FRE,DEF,"$381,800",17,71.1,5369.9
Kamdyn McIntosh,RIC,MID,"$381,500",14,71,5373.2
Aidan Corr,NME,DEF,"$381,100",15,70.9,5375.2
Mark O'Connor,GEE,DEF,"$380,800",17,70.9,5370.9
Jack Madgen,COL,DEF,"$380,500",11,70.8,5374.3
Ryan Lester,BRI,DEF,"$380,200",13,70.8,5370.1
Mitch Wallis,WBD,FWD,"$379,900",17,70.7,5373.4
Shaun Burgoyne,HAW,FWD,"$378,600",13,70.5,5370.2
Sam Draper,ESS,RUC,"$378,100",8,70.4,5370.7
Michael Hibberd,MEL,DEF,"$378,000",14,70.4,5369.3
Jack Redden,WCE,MID,"$377,900",12,70.3,5375.5
Lachie Henderson,GEE,DEF,"$377,700",10,70.3,5372.7
Todd Marshall,POR,FWD,"$377,400",12,70.2,5376.1
Connor Rozee,POR,FWD,"$377,200",14,70.2,5373.2
Sam Naismith,SYD,RUC,"$376,100",2,100,3761
Grant Birchall,BRI,DEF,"$375,300",14,69.9,5369.1
Luke Dahlhaus,GEE,FWD,"$375,200",12,69.8,5375.4
George Hewett,SYD,MID,"$374,700",6,77.5,4834.8
Jamie Cripps,WCE,FWD,"$373,600",13,69.5,5375.5
Tom Jonas,POR,DEF,"$373,600",17,69.5,5375.5
Noah Balta,RIC,DEF,"$373,600",13,69.5,5375.5
Chris Mayne,COL,MID,"$373,400",12,69.5,5372.7
Blake Hardwick,HAW,DEF,"$373,100",16,69.4,5376.1
Lachlan Keeffe,GWS,DEF,"$372,800",13,69.4,5371.8
Cale Hooker,ESS,DEF,"$372,700",8,69.4,5370.3
Jake Carlisle,STK,DEF,"$372,500",12,69.3,5375.2
Izak Rankine,GCS,FWD,"$371,600",12,69.2,5369.9
Anthony McDonald-Tipungwuti,ESS,FWD,"$370,400",17,68.9,5375.9
Reece Conca,FRE,DEF,"$370,300",14,68.9,5374.5
Esava Ratugolea,GEE,RUC/FWD,"$369,400",12,68.8,5369.2
Esava Ratugolea,GEE,RUC/FWD,"$369,400",12,68.8,5369.2
Will Snelling,ESS,FWD,"$368,500",17,68.6,5371.7
Andrew McPherson,ADE,DEF,"$368,300",9,68.6,5368.8
Tom J. Lynch,RIC,FWD,"$366,700",16,68.3,5369
Toby McLean,WBD,FWD,"$366,700",12,68.2,5376.8
Brody Mihocek,COL,FWD,"$366,000",16,68.1,5374.4
Rhys Mathieson,BRI,MID/FWD,"$365,800",1,97,3771.1
Rhys Mathieson,BRI,MID/FWD,"$364,800",1,97,3760.8
Tom Cutler,ESS,MID,"$364,700",8,67.9,5371.1
Tom Cole,WCE,DEF,"$364,600",14,67.9,5369.7
Tim Membrey,STK,FWD,"$363,700",16,67.7,5372.2
Luke Brown,ADE,DEF,"$363,400",17,67.6,5375.7
Josh Battle,STK,MID/FWD,"$362,900",13,67.5,5376.3
Josh Battle,STK,MID/FWD,"$362,900",13,67.5,5376.3
Darcy Gardiner,BRI,DEF,"$362,800",17,67.5,5374.8
Jamie Elliott,COL,MID/FWD,"$362,700",16,67.5,5373.3
Jamie Elliott,COL,MID/FWD,"$362,700",16,67.5,5373.3
Bayley Fritsch,MEL,FWD,"$359,300",16,66.9,5370.7
Wil Powell,GCS,DEF,"$358,900",15,66.8,5372.8
Harry Morrison,HAW,DEF/MID,"$358,500",11,66.7,5374.8
Harry Morrison,HAW,DEF / MID,"$358,500",11,66.7,5374.8
Elliott Himmelberg,ADE,FWD,"$358,000",11,66.6,5375.4
Brent Daniels,GWS,FWD,"$356,600",16,66.4,5370.5
Harry Himmelberg,GWS,FWD,"$355,300",16,66.1,5375.2
Dougal Howard,STK,DEF,"$355,200",17,66.1,5373.7
Lachie Plowman,CAR,DEF,"$354,900",16,66.1,5369.1
Shane McAdam,ADE,FWD,"$354,600",13,66,5372.7
Lincoln McCarthy,BRI,FWD,"$354,600",15,66,5372.7
Daniel Talia,ADE,DEF,"$354,600",14,66,5372.7
Taylin Duman,FRE,DEF,"$354,600",15,66,5372.7
Jaidyn Stephenson,NME,FWD,"$354,100",12,65.9,5373.3
Bradley Hill,STK,MID,"$354,000",17,65.9,5371.8
Callum Ah Chee,BRI,DEF,"$353,300",16,65.8,5369.3
Andrew Phillips,ESS,RUC,"$353,000",5,73,4835.6
Tom Green,GWS,MID,"$351,400",6,72.7,4833.6
David Zaharakis,ESS,FWD,"$351,400",10,65.4,5373.1
Jack Lonie,STK,FWD,"$351,200",11,65.4,5370
Sam Simpson,GEE,FWD,"$350,600",6,72.5,4835.9
Trent Rivers,MEL,DEF,"$350,400",9,65.2,5374.2
Levi Casboult,CAR,FWD,"$349,900",17,65.1,5374.8
Callum L. Brown,COL,FWD,"$349,600",14,65.1,5370.2
Nathan Broad,RIC,DEF,"$349,200",13,65,5372.3
Jye Caldwell,ESS,MID/FWD,"$348,600",9,64.9,5371.3
Dylan Clarke,ESS,MID/FWD,"$348,600",8,64.9,5371.3
Jye Caldwell,ESS,MID/FWD,"$348,600",9,64.9,5371.3
Dylan Clarke,ESS,MID/FWD,"$348,600",8,64.9,5371.3
Darcy Tucker,FRE,MID,"$347,900",8,64.8,5368.8
Jeremy Finlayson,GWS,FWD,"$346,700",15,64.5,5375.2
Josh J. Kennedy,WCE,FWD,"$346,200",16,64.4,5375.8
Will Brodie,GCS,MID/FWD,"$344,900",1,36,9580.6
Will Brodie,GCS,MID/FWD,"$344,900",1,36,9580.6
James Harmes,MEL,DEF,"$344,700",13,64.2,5369.2
Jack Riewoldt,RIC,FWD,"$344,500",17,64.1,5374.4
Ben Paton,STK,DEF,"$344,200",17,64.1,5369.7
Lachlan Sholl,ADE,DEF/MID,"$343,200",8,63.9,5370.9
Lachlan Sholl,ADE,DEF / MID,"$343,200",8,63.9,5370.9
Sam Mayes,POR,DEF,"$342,500",6,70.8,4837.6
Taylor Duryea,WBD,DEF/FWD,"$342,200",2,91,3760.4
Taylor Duryea,WBD,DEF / FWD,"$342,200",2,91,3760.4
Jed Bews,GEE,DEF,"$341,800",16,63.6,5374.2
Daniel Rioli,RIC,FWD,"$341,500",14,63.6,5369.5
Jason Castagna,RIC,FWD,"$341,000",17,63.5,5370.1
David Cuningham,CAR,FWD,"$340,700",12,63.4,5373.8
Griffin Logue,FRE,DEF,"$339,400",5,70.2,4834.8
Dan Hannebery,STK,MID,"$338,500",6,70,4835.7
Stephen Hill,FRE,DEF,"$338,000",12,62.9,5373.6
Cameron Ellis-Yolmen,BRI,MID/FWD,"$337,800",8,62.9,5370.4
Dylan Stephens,SYD,MID,"$337,800",8,62.9,5370.4
Cameron Ellis-Yolmen,BRI,MID/FWD,"$337,800",8,62.9,5370.4
Cameron Zurhaar,NME,FWD,"$337,800",16,62.9,5370.4
Will Hoskin-Elliott,COL,FWD,"$337,500",16,62.8,5374.2
Tom Sparrow,MEL,MID,"$337,200",5,62.8,5369.4
Jake Riccardi,GWS,FWD,"$336,500",5,69.6,4834.8
Tom Clurey,POR,DEF,"$335,500",16,62.4,5376.6
Dean Kent,STK,FWD,"$335,200",13,62.4,5371.8
Josh Caddy,RIC,MID,"$335,100",8,62.4,5370.2
Daniel McStay,BRI,FWD,"$333,800",15,62.1,5375.2
Ben McKay,NME,DEF,"$333,600",11,62.1,5372
Jack Ross,RIC,MID,"$333,100",7,62,5372.6
Bailey Scott,NME,MID/FWD,"$332,300",13,61.8,5377
Bailey Scott,NME,MID/FWD,"$332,300",13,61.8,5377
Josh Rotham,WCE,DEF,"$331,500",10,61.7,5372.8
Nick Hind,ESS,FWD,"$331,000",10,61.6,5373.4
Daniel Lloyd,GWS,FWD,"$330,900",12,61.6,5371.8
Mason Redman,ESS,DEF,"$330,200",13,61.5,5369.1
Jake Kolodjashnij,GEE,DEF,"$330,200",13,61.5,5369.1
Alex Sexton,GCS,FWD,"$330,000",14,61.4,5374.6
Aaron Naughton,WBD,FWD,"$329,700",11,61.4,5369.7
Josh Walker,NME,DEF,"$329,600",17,61.4,5368.1
Jake Aarts,RIC,FWD,"$329,400",13,61.3,5373.6
Mitchell Hinge,ADE,MID,"$328,800",1,102,3223.5
Lachlan Murphy,ADE,FWD,"$328,600",12,61.2,5369.3
Nick Holman,GCS,FWD,"$328,600",12,61.2,5369.3
Sam Reid,SYD,FWD,"$328,300",10,61.1,5373.2
Max King,STK,FWD,"$327,400",16,60.9,5376
Mabior Chol,RIC,RUC/FWD,"$327,200",10,60.9,5372.7
Mabior Chol,RIC,RUC/FWD,"$327,200",10,60.9,5372.7
Will Hayward,SYD,FWD,"$327,100",16,60.9,5371.1
Jack Henry,GEE,DEF,"$325,500",17,60.6,5371.3
Lewis Melican,SYD,DEF,"$324,700",9,60.4,5375.8
Matt Guelfi,ESS,DEF,"$324,300",11,60.4,5369.2
Adam Tomlinson,MEL,DEF/MID,"$324,000",13,60.3,5373.1
Adam Tomlinson,MEL,DEF / MID,"$324,000",13,60.3,5373.1
Alex Keath,WBD,DEF,"$323,900",17,60.3,5371.5
Jake Waterman,WCE,FWD,"$323,600",9,60.2,5375.4
Josh Jenkins,GEE,RUC/FWD,"$323,400",1,86,3760.5
Josh Jenkins,GEE,RUC/FWD,"$323,400",1,86,3760.5
Sam Taylor,GWS,DEF,"$323,400",4,67,4826.9
Tom McDonald,MEL,FWD,"$323,000",9,60.1,5374.4
Aliir Aliir,POR,DEF,"$321,200",14,59.8,5371.2
Lachie Ash,GWS,DEF,"$320,600",12,59.7,5370.2
Jarryn Geary,STK,DEF,"$320,400",14,59.6,5375.8
Aaron Francis,ESS,DEF,"$320,300",8,59.6,5374.2
Harry McKay,CAR,FWD,"$319,900",13,59.5,5376.5
Dyson Heppell,ESS,MID,"$319,100",3,66,4834.8
Lachie Fogarty,CAR,FWD,"$319,100",6,66,4834.8
Ryan Burton,POR,DEF,"$318,800",6,59.3,5376.1
Nick Blakey,SYD,MID/FWD,"$318,700",16,59.3,5374.4
Nick Blakey,SYD,MID/FWD,"$318,700",16,59.3,5374.4
Riley Bonner,POR,DEF,"$318,200",9,59.2,5375
Lin Jong,WBD,MID/FWD,"$318,100",3,74,4298.6
Lin Jong,WBD,MID/FWD,"$318,100",3,74,4298.6
Michael Hartley,HAW,DEF,"$317,800",2,84.5,3760.9
Mitch Georgiades,POR,FWD,"$317,000",7,59,5372.9
Hayden McLean,SYD,FWD,"$317,000",6,59,5372.9
Sam Wicks,SYD,FWD,"$316,200",7,58.9,5368.4
Curtis Taylor,NME,FWD,"$315,800",9,58.8,5370.7
Harry Schoenberg,ADE,FWD,"$315,600",8,58.8,5367.3
Oleg Markov,GCS,DEF,"$314,300",6,65,4835.4
Kyle Hartigan,HAW,DEF,"$314,300",12,58.5,5372.6
Brayden Sier,COL,MID,"$313,800",3,73,4298.6
Zaine Cordy,WBD,DEF,"$313,700",13,58.4,5371.6
Tom Williamson,CAR,DEF,"$313,400",15,58.3,5375.6
Tom McCartin,SYD,FWD,"$312,800",14,58.2,5374.6
Luke Jackson,MEL,FWD,"$312,500",6,58.2,5369.4
Mason Cox,COL,FWD,"$312,200",9,58.1,5373.5
Wayne Milera,ADE,DEF,"$312,200",2,83,3761.4
Lance Franklin,SYD,FWD,"$312,000",0,0,0
Jordan Roughead,COL,DEF,"$311,300",15,57.9,5376.5
Tyler Brown,COL,MID,"$311,000",9,57.9,5371.3
Willem Drew,POR,MID,"$310,800",0,0,0
Jesse Hogan,GWS,FWD,"$310,800",7,57.9,5367.9
Quinton Narkle,GEE,MID,"$310,400",5,64.2,4834.9
Jackson Hately,ADE,MID,"$310,300",6,64.2,4833.3
Brendon Ah Chee,WCE,FWD,"$310,200",15,57.7,5376.1
Alex Neal-Bullen,MEL,FWD,"$310,100",7,57.7,5374.4
Jake Kelly,ADE,DEF,"$309,800",15,57.7,5369.2
Ed Richards,WBD,MID/FWD,"$309,300",16,57.6,5369.8
Ed Richards,WBD,MID/FWD,"$309,300",16,57.6,5369.8
Kane Farrell,POR,MID/FWD,"$309,200",11,57.5,5377.4
Kane Farrell,POR,MID/FWD,"$309,200",11,57.5,5377.4
Jarrod Harbrow,GCS,DEF,"$309,100",13,57.5,5375.7
Eddie Betts,CAR,FWD,"$308,800",15,57.5,5370.4
Steven Motlop,POR,FWD,"$308,500",12,57.4,5374.6
Jayden Laverde,ESS,FWD,"$308,000",6,57.3,5375.2
Charlie Ballard,GCS,DEF,"$307,600",16,57.2,5377.6
Brandon Starcevich,BRI,DEF,"$307,300",16,57.2,5372.4
Darcy MacPherson,GCS,FWD,"$306,700",12,57.1,5371.3
Josh Thomas,COL,FWD,"$305,800",12,56.9,5374.3
Tom De Koning,CAR,RUC,"$305,500",7,56.9,5369.1
Tyson Stengle,ADE,FWD,"$305,300",12,56.8,5375
Sam Frost,HAW,DEF,"$304,900",16,56.8,5368
Noah Answerth,BRI,DEF,"$304,500",9,56.7,5370.4
Sam Weideman,MEL,FWD,"$303,800",13,56.5,5377
Matt de Boer,GWS,MID,"$303,700",13,62.8,4836
Tobe Watson,FRE,DEF,"$303,700",3,70.7,4295.6
Marty Hore,MEL,DEF,"$303,600",0,0,0
Braydon Preuss,GWS,RUC,"$303,000",3,62.7,4832.5
Darcy Cameron,COL,FWD,"$302,900",8,56.4,5370.6
Dylan Moore,HAW,FWD,"$302,300",3,70.3,4300.1
Brayden Fiorini,GCS,MID,"$301,700",5,62.4,4834.9
Aaron vandenBerg,MEL,MID,"$301,300",12,56.1,5370.8
Adam Kennedy,GWS,MID,"$300,900",6,56,5373.2
Keidean Coleman,BRI,FWD,"$299,800",4,62,4835.5
Ben King,GCS,FWD,"$298,700",17,55.6,5372.3
Bailey Dale,WBD,FWD,"$298,500",9,55.6,5368.7
Sam Day,GCS,FWD,"$298,300",17,55.5,5374.8
Taylor Walker,ADE,FWD,"$298,200",14,55.5,5373
Charlie Spargo,MEL,FWD,"$298,200",8,55.5,5373
Lachlan Schultz,FRE,FWD,"$298,000",17,55.5,5369.4
Easton Wood,WBD,DEF,"$297,700",12,55.4,5373.6
Tim O'Brien,HAW,FWD,"$297,500",16,55.4,5370
Sam J. Reid,GWS,DEF,"$297,300",3,30.3,9811.9
