"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"221","Paul Seedsman","ADE","MID",73,401228,429800,-28572,9,80,79,5.66,52.94,80,0.33,14.23,2.95,4.24,3.03,2.82,0
"222","Ivan Soldo","RIC","RUC",73,400640,403000,-2360,14,75,74,4.655,82.35,63.25,0.29,13.33,2.42,6.59,2.42,2.47,0
"223","Toby McLean","WBD","FWD",73,399904,366700,33204,12,68.2,89.08,4.44,70.59,65.33,0.08,16.04,2.31,5.65,2.49,0.69,0
"224","Oscar Allen","WCE","FWD",73,399610,422100,-22490,14,78.6,76.67,3.07,82.35,75.2,0.27,13.81,1.6,6.59,2.85,2.31,0
"225","Callum Wilkie","STK","DEF",73,399463,409000,-9537,17,76.1,72.47,4.32,100,65,0.16,13.05,2.25,8,2.48,1.37,0
"226","James Rowbottom","SYD","MID",72,397697,405600,-7903,16,75.5,74.5,5.06,94.12,63.25,0.12,13.42,2.63,7.53,2.42,1.03,0
"227","Michael Gibbons","CAR","FWD",72,396667,401500,-4833,15,74.7,73.73,4.91,88.24,61.33,0.2,13.28,2.56,7.06,2.35,1.71,0
"228","Peter Ladhams","POR","RUC",72,395196,460000,-64804,8,85.6,80.9,7.49,47.06,53.33,0.3,14.57,3.9,3.77,2.06,2.56,0
"229","Will Snelling","ESS","FWD",72,394902,368500,26402,17,68.6,75.25,4.32,100,66,0.06,13.55,2.25,8,2.52,0.52,0
"230","Levi Casboult","CAR","FWD",72,394902,349900,45002,17,65.1,71.59,3.16,100,58.6,0.24,12.89,1.65,8,2.25,2.05,0
"231","Gryan Miers","GEE","FWD",72,394460,387100,7360,17,72.1,70.57,4.39,100,68.67,0.14,12.71,2.29,8,2.61,1.2,0
"232","Jamie Cripps","WCE","FWD",72,394460,373600,20860,13,69.5,75.53,4.17,76.47,99,0.14,13.6,2.17,6.12,3.72,1.2,0
"233","Jackson Nelson","WCE","DEF",72,393725,397600,-3875,14,74,71.33,4.75,82.35,66.6,0.27,12.85,2.47,6.59,2.54,2.31,0
"234","Brennan Cox","FRE","DEF",72,392695,433500,-40805,13,80.7,78.92,3.8,76.47,81.8,0.15,14.21,1.98,6.12,3.09,1.29,0
"235","Shaun Burgoyne","HAW","FWD",71,392253,378600,13653,13,70.5,83.81,3.4,76.47,79,0.08,15.09,1.77,6.12,2.99,0.69,0
"236","Ethan Hughes","FRE","DEF",71,391812,381800,10012,17,71.1,69.94,4.26,100,87.2,0.06,12.6,2.22,8,3.29,0.52,0
"237","Shane Edwards","RIC","MID",71,391518,416700,-25182,6,86.2,86.04,5.93,35.29,69.5,0.3,15.49,3.09,2.83,2.64,2.56,0
"238","Ben Cunnington","NME","MID",71,391223,439800,-48577,3,102.3,101.33,5.89,17.65,102.3,0,18.25,3.07,1.42,3.84,0.01,0
"239","Connor Rozee","POR","FWD",71,390782,377200,13582,14,70.2,75.71,4.17,82.35,66.33,0.19,13.64,2.17,6.59,2.53,1.63,0
"240","Dougal Howard","STK","DEF",71,390193,355200,34993,17,66.1,68.16,3.55,100,79.71,0.16,12.28,1.85,8,3.02,1.37,0
"241","Blake Hardwick","HAW","DEF",71,387251,373100,14151,16,69.4,75.62,4.09,94.12,66,0.06,13.62,2.13,7.53,2.52,0.52,0
"242","David Zaharakis","ESS","FWD",70,386221,351400,34821,10,65.4,87.37,4.7,58.82,65.4,0.1,15.73,2.45,4.71,2.5,0.86,0
"243","Aaron Hall","NME","FWD",70,386074,392200,-6126,15,73,72,4.87,88.24,50.67,0.2,12.97,2.54,7.06,1.96,1.71,0
"244","Sam Reid","SYD","FWD",70,385632,328300,57332,10,61.1,98,2.87,58.82,61.2,0,17.65,1.5,4.71,2.34,0.01,0
"245","James Cousins","HAW","MID",70,382837,412600,-29763,6,85.3,84.33,6.19,35.29,88,0.17,15.19,3.22,2.83,3.32,1.46,0
"246","Jonathon Ceglar","HAW","RUC",70,381365,388100,-6735,13,72.2,73.8,5.8625,76.47,56.33,0.15,13.29,3.05,6.12,2.17,1.29,0
"247","Jack Higgins","STK","FWD",69,380630,419600,-38970,10,78.1,77.1,5,58.82,78.1,0.2,13.89,2.6,4.71,2.96,1.71,0
"248","Luke Davies-Uniacke","NME","MID",69,379306,432800,-53494,9,80.6,79.56,5.78,52.94,86.25,0.11,14.33,3.01,4.24,3.25,0.95,0
"249","Jack Scrimshaw","HAW","DEF",69,379158,399600,-20442,13,74.4,73.31,4.93,76.47,84.4,0.08,13.2,2.57,6.12,3.19,0.69,0
"250","Bayley Fritsch","MEL","FWD",69,379158,359300,19858,16,66.9,73.79,3.71,94.12,79.6,0,13.29,1.93,7.53,3.01,0.01,0
"251","Kamdyn McIntosh","RIC","MID",69,379011,381500,-2489,14,71,69.72,4.67,82.35,71.56,0.17,12.56,2.43,6.59,2.72,1.46,0
"252","Eric Hipwood","BRI","FWD",69,378717,391300,-12583,17,72.8,68.47,3.52,100,68.71,0.11,12.33,1.84,8,2.62,0.95,0
"253","Aidan Corr","NME","DEF",69,378423,381100,-2677,15,70.9,69.93,4.02,88.24,59,0.2,12.59,2.1,7.06,2.26,1.71,0
"254","Xavier Duursma","POR","MID",69,377981,398400,-20419,13,74.2,73.86,4.25,76.47,77.8,0.13,13.3,2.21,6.12,2.95,1.11,0
"255","Mark O'Connor","GEE","DEF",69,377834,380800,-2966,17,70.9,67.9,3.65,100,61.33,0.14,12.23,1.9,8,2.35,1.2,0
"256","John Noble","COL","DEF",69,377540,393300,-15760,15,73.2,68,5.17,88.24,69,0.12,12.25,2.69,7.06,2.63,1.03,0
"257","Cameron Rayner","BRI","FWD",69,377246,392900,-15654,15,73.1,70.65,3.51,88.24,79.2,0.12,12.72,1.83,7.06,3,1.03,0
"258","Brody Mihocek","COL","FWD",69,377099,366000,11099,16,68.1,69.17,2.79,94.12,71.67,0.17,12.46,1.46,7.53,2.72,1.46,0
"259","Dylan Grimes","RIC","DEF",69,376951,382800,-5849,16,71.2,70.5,3.39,94.12,60.88,0.15,12.7,1.77,7.53,2.33,1.29,0
"260","Luke Dahlhaus","GEE","FWD",69,376363,375200,1163,12,69.8,78.75,4.37,70.59,64,0.12,14.18,2.28,5.65,2.44,1.03,0
"261","Sam Naismith","SYD","RUC",68,375039,376100,-1061,2,100,99,5.67,11.76,100,0,17.83,2.95,0.95,3.75,0.01,0
"262","Liam Jones","CAR","DEF",68,374745,387500,-12755,17,72.1,71.12,2.82,100,84.2,0,12.81,1.47,8,3.18,0.01,0
"263","Jarryn Geary","STK","DEF",68,374303,320400,53903,14,59.6,75.59,3.55,82.35,75.67,0.06,13.61,1.85,6.59,2.87,0.52,0
"264","Jeremy Finlayson","GWS","FWD",68,374009,346700,27309,15,64.5,76.4,2.75,88.24,67,0.07,13.76,1.44,7.06,2.55,0.61,0
"265","Dan Hannebery","STK","MID",68,373862,338500,35362,6,70,93,6.07,35.29,70,0,16.75,3.16,2.83,2.66,0.01,0
"266","Gary Rohan","GEE","FWD",68,373715,392200,-18485,15,73,69.26,2.8,88.24,68.43,0.21,12.47,1.46,7.06,2.61,1.8,0
"267","Nathan Wilson","FRE","DEF",68,372538,395100,-22562,15,73.5,73.3,4.56,88.24,70.2,0,13.2,2.38,7.06,2.67,0.01,0
"268","Lincoln McCarthy","BRI","FWD",68,372096,354600,17496,15,66,67.71,3.47,88.24,70.4,0.18,12.2,1.81,7.06,2.68,1.54,0
"269","Luke Brown","ADE","DEF",68,371213,363400,7813,17,67.6,66.65,4.1,100,67.4,0.06,12,2.14,8,2.57,0.52,0
"270","Jake Kelly","ADE","DEF",68,371213,309800,61413,15,57.7,73.71,2.95,88.24,72.25,0.07,13.28,1.54,7.06,2.74,0.61,0
"271","Peter Ladhams","POR","FWD",68,370625,460000,-89375,8,85.6,80.9,4.28,47.06,53.33,0.3,14.57,2.23,3.77,2.06,2.56,0
"272","Tom McDonald","MEL","FWD",67,370183,323000,47183,9,60.1,89.73,2.89,52.94,60.1,0.11,16.16,1.51,4.24,2.3,0.95,0
"273","Stefan Martin","WBD","RUC",67,368859,272200,96659,6,50.7,99.46,4.5325,35.29,50.7,0,17.91,2.36,2.83,1.96,0.01,0
"274","Matthew Kennedy","CAR","MID",67,368565,437500,-68935,7,81.4,80.43,5.74,41.18,81.4,0.14,14.48,2.99,3.3,3.08,1.2,0
"275","Matthew Kennedy","CAR","FWD",67,368565,437500,-68935,7,81.4,80.43,5.74,41.18,81.4,0.14,14.48,2.99,3.3,3.08,1.2,0
"276","Anthony McDonald-Tipungwuti","ESS","FWD",67,368418,370400,-1982,17,68.9,68.68,2.86,100,69.83,0.06,12.37,1.49,8,2.66,0.52,0
"277","Stephen Hill","FRE","DEF",67,368124,338000,30124,12,62.9,81,4.36,70.59,65.4,0,14.59,2.27,5.65,2.5,0.01,0
"278","Ben Long","STK","DEF",67,366947,384100,-17153,14,71.5,68.53,4.2,82.35,71.33,0.13,12.34,2.19,6.59,2.71,1.11,0
"279","Bradley Hill","STK","MID",67,366799,354000,12799,17,65.9,61.74,5.27,100,69,0.05,11.12,2.74,8,2.63,0.44,0
"280","Jamie Elliott","COL","MID",67,366505,362700,3805,16,67.5,69.94,4,94.12,70.83,0,12.6,2.08,7.53,2.69,0.01,0
"281","Jamie Elliott","COL","FWD",67,366505,362700,3805,16,67.5,69.94,4,94.12,70.83,0,12.6,2.08,7.53,2.69,0.01,0
"282","Darcy Gardiner","BRI","DEF",67,365181,362800,2381,17,67.5,66.33,3.96,100,73.83,0,11.95,2.06,8,2.8,0.01,0
"283","Darcy MacPherson","GCS","FWD",67,365181,306700,58481,12,57.1,78.92,4,70.59,57.1,0.08,14.21,2.08,5.65,2.19,0.69,0
"284","Robbie Fox","SYD","DEF",67,365034,385700,-20666,14,71.8,70.79,3.51,82.35,63.8,0.14,12.75,1.83,6.59,2.44,1.2,0
"285","Lachie Plowman","CAR","DEF",67,364887,354900,9987,16,66.1,69.74,3.62,94.12,60,0.06,12.56,1.89,7.53,2.3,0.52,0
"286","Wil Powell","GCS","DEF",66,364004,358900,5104,15,66.8,65.8,4.6,88.24,74.4,0.07,11.85,2.4,7.06,2.82,0.61,0
"287","Ben Paton","STK","DEF",66,363562,344200,19362,17,64.1,60.58,4.27,100,57.57,0.16,10.91,2.22,8,2.21,1.37,0
"288","Will Hoskin-Elliott","COL","FWD",66,363562,337500,26062,16,62.8,71.29,3.44,94.12,66.5,0,12.84,1.79,7.53,2.54,0.01,0
"289","Ryan Clarke","SYD","MID",66,363415,407800,-44385,10,75.9,74.9,5.64,58.82,71,0.1,13.49,2.94,4.71,2.7,0.86,0
"290","Ryan Lester","BRI","DEF",66,362974,380200,-17226,13,70.8,71.07,4.22,76.47,77.6,0.07,12.8,2.2,6.12,2.94,0.61,0
"291","Jack Sinclair","STK","MID",66,362533,426600,-64067,10,79.4,76.42,4.84,58.82,78.29,0.08,13.76,2.52,4.71,2.96,0.69,0
"292","Patrick Lipinski","WBD","MID",66,362385,429800,-67415,12,80,76.5,5.24,70.59,64.5,0,13.78,2.73,5.65,2.46,0.01,0
"293","Aliir Aliir","POR","DEF",66,360767,321200,39567,14,59.8,75.17,3.29,82.35,70,0,13.54,1.72,6.59,2.66,0.01,0
"294","Izak Rankine","GCS","FWD",66,360620,371600,-10980,12,69.2,68.17,4.03,70.59,61.4,0.25,12.28,2.1,5.65,2.35,2.13,0
"295","Lachie Henderson","GEE","DEF",66,360473,377700,-17227,10,70.3,74.36,4.21,58.82,79.67,0.14,13.39,2.19,4.71,3.01,1.2,0
"296","Jason Castagna","RIC","FWD",65,358266,341000,17266,17,63.5,63.27,3.91,100,64.78,0.05,11.4,2.04,8,2.47,0.44,0
"297","Tom Clurey","POR","DEF",65,357971,335500,22471,16,62.4,70.48,3.17,94.12,50.2,0.06,12.69,1.65,7.53,1.94,0.52,0
"298","Callum Ah Chee","BRI","DEF",65,357089,353300,3789,16,65.8,64.33,4.11,94.12,65.14,0.06,11.59,2.14,7.53,2.49,0.52,0
"299","Taylor Walker","ADE","FWD",65,356942,298200,58742,14,55.5,76,2.65,82.35,51.5,0.07,13.69,1.38,6.59,1.99,0.61,0
"300","Brent Daniels","GWS","FWD",65,354440,356600,-2160,16,66.4,65.38,4.06,94.12,69.75,0,11.78,2.12,7.53,2.65,0.01,0
"301","Darcy Fort","GEE","RUC",65,354293,390700,-36407,5,80.8,79.2,5.18,29.41,80.8,0.2,14.26,2.7,2.36,3.05,1.71,0
"302","Luke Dunstan","STK","MID",65,354146,395400,-41254,1,92,91,7.18,5.88,92,0,16.39,3.73,0.48,3.46,0.01,0
"303","Chris Mayne","COL","MID",65,353999,373400,-19401,12,69.5,73.13,4.6,70.59,58,0.07,13.17,2.4,5.65,2.23,0.61,0
"304","Rhys Mathieson","BRI","MID",64,353558,365800,-12242,1,97,96,5.01,5.88,97,0,17.29,2.61,0.48,3.64,0.01,0
"305","Rhys Mathieson","BRI","FWD",64,353558,364800,-11242,1,97,96,5.01,5.88,97,0,17.29,2.61,0.48,3.64,0.01,0
"306","Nathan Jones","MEL","MID",64,352675,292100,60575,8,54.4,91.11,4.38,47.06,38,0,16.41,2.28,3.77,1.5,0.01,0
"307","Nathan Jones","MEL","FWD",64,352675,292100,60575,8,54.4,91.11,4.38,47.06,38,0,16.41,2.28,3.77,1.5,0.01,0
"308","Jake Carlisle","STK","DEF",64,352086,372500,-20414,12,69.3,74.11,3.84,70.59,58.5,0.08,13.35,2,5.65,2.24,0.69,0
"309","Jack Henry","GEE","DEF",64,351939,325500,26439,17,60.6,63.19,3.14,100,64.44,0.05,11.38,1.64,8,2.46,0.44,0
"310","Taylin Duman","FRE","DEF",64,351792,354600,-2808,15,66,64.6,3.8,88.24,68.8,0.07,11.64,1.98,7.06,2.62,0.61,0
"311","Josh Battle","STK","MID",64,351351,362900,-11549,13,67.5,69.29,3.47,76.47,59.17,0.14,12.48,1.81,6.12,2.27,1.2,0
"312","Josh Battle","STK","FWD",64,351351,362900,-11549,13,67.5,69.29,3.47,76.47,59.17,0.14,12.48,1.81,6.12,2.27,1.2,0
"313","Damon Greaves","HAW","DEF",64,350909,389700,-38791,3,90.7,89.67,5.5,17.65,90.7,0,16.15,2.86,1.42,3.41,0.01,0
"314","Mason Redman","ESS","DEF",64,350468,330200,20268,13,61.5,75.5,4.04,76.47,51.33,0,13.6,2.11,6.12,1.98,0.01,0
"315","Esava Ratugolea","GEE","RUC",64,350321,369400,-19079,12,68.8,68.33,4.8825,70.59,68.8,0.08,12.31,2.54,5.65,2.62,0.69,0
"316","Sam Day","GCS","FWD",64,349585,298300,51285,17,55.5,65.1,3.03,100,49.8,0.06,11.73,1.58,8,1.93,0.52,0
"317","Jarrod Harbrow","GCS","DEF",64,349438,309100,40338,13,57.5,75.86,4.34,76.47,43.5,0,13.66,2.26,6.12,1.7,0.01,0
"318","Tim O'Brien","HAW","FWD",64,349291,297500,51791,16,55.4,69.33,2.3,94.12,65.8,0,12.49,1.2,7.53,2.51,0.01,0
"319","Brett Bewley","FRE","MID",64,348849,388200,-39351,12,72.2,71,4.83,70.59,72.2,0,12.79,2.52,5.65,2.74,0.01,0
"320","Brett Bewley","FRE","FWD",64,348849,388200,-39351,12,72.2,71,4.83,70.59,72.2,0,12.79,2.52,5.65,2.74,0.01,0
"321","David Mackay","ADE","DEF",64,348408,393300,-44892,10,73.2,72.2,5.49,58.82,82,0,13,2.86,4.71,3.1,0.01,0
"322","Lachlan Keeffe","GWS","DEF",63,347967,372800,-24833,13,69.4,68.38,2.99,76.47,78.2,0.08,12.32,1.56,6.12,2.96,0.69,0
"323","Reece Conca","FRE","DEF",63,347819,370300,-22481,14,68.9,67.5,4.74,82.35,63,0,12.16,2.47,6.59,2.41,0.01,0
"324","Andrew Phillips","ESS","RUC",63,347525,353000,-5475,5,73,72,4.0425,29.41,73,0.4,12.97,2.11,2.36,2.77,3.41,0
"325","Harry Morrison","HAW","DEF",63,347378,358500,-11122,11,66.7,70,4.5,64.71,71,0.09,12.61,2.34,5.18,2.7,0.78,0
"326","Harry Morrison","HAW","MID",63,347378,358500,-11122,11,66.7,70,4.5,64.71,71,0.09,12.61,2.34,5.18,2.7,0.78,0
"327","Noah Balta","RIC","DEF",63,346642,373600,-26958,13,69.5,66.12,3.73,76.47,67.11,0.12,11.91,1.94,6.12,2.56,1.03,0
"328","Shane McAdam","ADE","FWD",63,345171,354600,-9429,13,66,65,3.32,76.47,85,0.08,11.71,1.73,6.12,3.21,0.69,0
"329","Justin McInerney","SYD","MID",63,344435,384400,-39965,9,71.6,70.56,4.74,52.94,80.5,0.11,12.71,2.47,4.24,3.04,0.95,0
"330","Daniel Talia","ADE","DEF",63,343994,354600,-10606,14,66,67.77,3.14,82.35,44.5,0.14,12.21,1.64,6.59,1.74,1.2,0
"331","Dyson Heppell","ESS","MID",63,343553,319100,24453,3,66,94.96,4.41,17.65,66,0,17.1,2.3,1.42,2.52,0.01,0
"332","Grant Birchall","BRI","DEF",63,343111,375300,-32189,14,69.9,66.5,4.54,82.35,62.2,0,11.98,2.36,6.59,2.38,0.01,0
"333","Jake Melksham","MEL","FWD",63,342964,296800,46164,17,55.2,65.13,3.17,100,49.5,0,11.73,1.65,8,1.92,0.01,0
"334","Steven Motlop","POR","FWD",62,341934,308500,33434,12,57.4,64.71,3.42,70.59,78,0.14,11.66,1.78,5.65,2.95,1.2,0
"335","Will Day","HAW","DEF",62,341787,384400,-42613,11,71.5,70.09,4.97,64.71,74.5,0,12.62,2.59,5.18,2.83,0.01,0
"336","Sam Mayes","POR","DEF",62,341787,342500,-713,6,70.8,69.83,4.43,35.29,70.8,0.33,12.58,2.31,2.83,2.69,2.82,0
"337","Jordan De Goey","COL","FWD",62,341493,435200,-93707,8,81,79.67,4.26,47.06,52,0.1,14.35,2.22,3.77,2.01,0.86,0
"338","Jack Madgen","COL","DEF",62,340757,380500,-39743,11,70.8,67.15,3.79,64.71,68.71,0.15,12.09,1.98,5.18,2.62,1.29,0
"339","Josh Jenkins","GEE","RUC",62,340463,323400,17063,1,86,85,7.8925,5.88,86,0,15.31,4.1,0.48,3.24,0.01,0
"340","Cameron Zurhaar","NME","FWD",62,339874,337800,2074,16,62.9,62.81,3.25,94.12,53,0.06,11.31,1.7,7.53,2.04,0.52,0
"341","David Cuningham","CAR","FWD",62,339727,340700,-973,12,63.4,63.44,4.09,70.59,63.4,0.17,11.43,2.13,5.65,2.42,1.46,0
"342","Josh Walker","NME","DEF",62,339286,329600,9686,17,61.4,60.35,3.57,100,46.6,0.06,10.87,1.86,8,1.81,0.52,0
"343","Daniel Rioli","RIC","FWD",62,339286,341500,-2214,14,63.6,64.83,3.75,82.35,74.38,0,11.68,1.96,6.59,2.82,0.01,0
"344","Will Hayward","SYD","FWD",62,339139,327100,12039,16,60.9,59.88,3.44,94.12,63.2,0.06,10.79,1.79,7.53,2.42,0.52,0
"345","Tom Scully","HAW","MID",62,339139,290500,48639,14,54.1,63.26,4.31,82.35,74,0,11.39,2.25,6.59,2.81,0.01,0
"346","Tom Scully","HAW","FWD",62,339139,290500,48639,14,54.1,63.26,4.31,82.35,74,0,11.39,2.25,6.59,2.81,0.01,0
"347","Isaac Quaynor","COL","DEF",62,338844,405300,-66456,9,75.4,71.18,4.27,52.94,78.5,0.09,12.82,2.22,4.24,2.97,0.78,0
"348","Brendon Ah Chee","WCE","FWD",62,338109,310200,27909,15,57.7,67,3.38,88.24,54,0,12.07,1.76,7.06,2.08,0.01,0
"349","Jed Bews","GEE","DEF",62,337814,341800,-3986,16,63.6,59.9,3.51,94.12,62,0.05,10.79,1.83,7.53,2.37,0.44,0
"350","Bryce Gibbs","ADE","DEF",62,337520,290100,47420,3,60,90.96,5.43,17.65,60,0,16.38,2.83,1.42,2.3,0.01,0
"351","Alex Keath","WBD","DEF",61,337226,323900,13326,17,60.3,58.83,3.21,100,55.2,0.06,10.6,1.68,8,2.12,0.52,0
"352","George Hewett","SYD","MID",61,337226,374700,-37474,6,77.5,81.54,4.72,35.29,77.5,0,14.68,2.46,2.83,2.94,0.01,0
"353","Nick Blakey","SYD","MID",61,335902,318700,17202,16,59.3,58.31,3.46,94.12,65,0.06,10.5,1.8,7.53,2.48,0.52,0
"354","Nick Blakey","SYD","FWD",61,335902,318700,17202,16,59.3,58.31,3.46,94.12,65,0.06,10.5,1.8,7.53,2.48,0.52,0
"355","Jaidyn Stephenson","NME","FWD",61,334872,354100,-19228,12,65.9,77.29,2.99,70.59,41.25,0,13.92,1.56,5.65,1.62,0.01,0
"356","Esava Ratugolea","GEE","FWD",61,334430,369400,-34970,12,68.8,68.33,2.79,70.59,68.8,0.08,12.31,1.46,5.65,2.62,0.69,0
"357","Elliott Himmelberg","ADE","FWD",61,334283,358000,-23717,11,66.6,65.64,3.41,64.71,83.8,0.09,11.82,1.78,5.18,3.16,0.78,0
"358","Tom Cole","WCE","DEF",61,333695,364600,-30905,14,67.9,65.27,3.66,82.35,63.17,0,11.76,1.91,6.59,2.41,0.01,0
"359","Josh Caddy","RIC","MID",61,333695,335100,-1405,8,62.4,79.17,4.31,47.06,62.4,0,14.26,2.25,3.77,2.39,0.01,0
"360","Griffin Logue","FRE","DEF",61,332665,339400,-6735,5,70.2,69.2,3.27,29.41,70.2,0.4,12.46,1.71,2.36,2.67,3.41,0
"361","Tom Green","GWS","MID",61,332665,351400,-18735,6,72.7,71.67,5.08,35.29,72.7,0.17,12.91,2.65,2.83,2.76,1.46,0
"362","Zac Fisher","CAR","FWD",61,332518,394200,-61682,8,73.4,72.38,4.76,47.06,59.5,0.12,13.04,2.48,3.77,2.28,1.03,0
"363","Alex Sexton","GCS","FWD",60,331341,330000,1341,14,61.4,60.43,3.28,82.35,71.67,0.07,10.89,1.71,6.59,2.72,0.61,0
"364","Jack Ziebell","NME","FWD",60,331046,257900,73146,8,48,86.04,2.62,47.06,48,0,15.49,1.37,3.77,1.86,0.01,0
"365","Trent Rivers","MEL","DEF",60,329575,350400,-20825,9,65.2,64.22,4.61,52.94,86,0.11,11.57,2.4,4.24,3.24,0.95,0
"366","Matt Rowell","GCS","MID",60,328545,495100,-166555,5,102.4,102.4,0,0.294117647058824,102.4,0,18.44,0.01,0.03,3.84,0.01,0
"367","Josh Thomas","COL","FWD",60,328251,305800,22451,12,56.9,70.21,3.36,70.59,58.57,0,12.65,1.75,5.65,2.25,0.01,0
"368","Quinton Narkle","GEE","MID",60,328104,310400,17704,5,64.2,77,3.67,29.41,64.2,0.2,13.87,1.91,2.36,2.45,1.71,0
"369","Brayden Fiorini","GCS","MID",60,327957,301700,26257,5,62.4,84.13,4.56,29.41,62.4,0,15.15,2.38,2.36,2.39,0.01,0
"370","Nathan Broad","RIC","DEF",60,327368,349200,-21832,13,65,63.25,3.77,76.47,58.75,0.06,11.39,1.97,6.12,2.25,0.52,0
"371","Easton Wood","WBD","DEF",60,327074,297700,29374,12,55.4,71.04,3.08,70.59,37.67,0.08,12.79,1.61,5.65,1.49,0.69,0
"372","Mitchell Hinge","ADE","MID",60,327074,328800,-1726,1,102,102,0,0.0588235294117647,102,0,18.37,0.01,0.01,3.83,0.01,0
"373","Taylor Duryea","WBD","FWD",60,326780,342200,-15420,2,91,84.33,5.06,11.76,91,0,15.19,2.63,0.95,3.43,0.01,0
"374","Taylor Duryea","WBD","DEF",60,326780,342200,-15420,2,91,84.33,5.06,11.76,91,0,15.19,2.63,0.95,3.43,0.01,0
"375","Sydney Stack","RIC","MID",59,326191,277600,48591,9,51.7,77.12,3.52,52.94,57,0,13.89,1.84,4.24,2.19,0.01,0
"376","Sydney Stack","RIC","FWD",59,326191,277600,48591,9,51.7,77.12,3.52,52.94,57,0,13.89,1.84,4.24,2.19,0.01,0
"377","Brandon Starcevich","BRI","DEF",59,325750,307300,18450,16,57.2,55.67,3.34,94.12,60.67,0.06,10.03,1.74,7.53,2.32,0.52,0
"378","Phil Davis","GWS","DEF",59,325308,290700,34608,10,54.1,72.14,2.81,58.82,54.1,0.1,12.99,1.47,4.71,2.08,0.86,0
"379","Nick Holman","GCS","FWD",59,325014,328600,-3586,12,61.2,64.25,3.53,70.59,61.2,0.08,11.57,1.84,5.65,2.34,0.69,0
"380","Martin Gleeson","ESS","DEF",59,324867,293400,31467,13,54.6,68.33,3.56,76.47,45.8,0,12.31,1.86,6.12,1.78,0.01,0
"381","Charlie Ballard","GCS","DEF",59,323837,307600,16237,16,57.2,58.91,3.46,94.12,53.4,0,10.61,1.8,7.53,2.06,0.01,0
"382","Sam Draper","ESS","RUC",59,323837,378100,-54263,8,70.4,69.38,4.7775,47.06,57.75,0.12,12.5,2.49,3.77,2.22,1.03,0
"383","Cale Hooker","ESS","DEF",59,323396,372700,-49304,8,69.4,75.71,3.68,47.06,69.4,0,13.64,1.92,3.77,2.64,0.01,0
"384","Sam Simpson","GEE","FWD",59,323248,350600,-27352,6,72.5,72.78,4.47,35.29,72.5,0.11,13.11,2.33,2.83,2.75,0.95,0
"385","Bailey Scott","NME","MID",59,322954,332300,-9346,13,61.8,60.85,3.54,76.47,60.8,0.08,10.96,1.85,6.12,2.33,0.69,0
"386","Bailey Scott","NME","FWD",59,322954,332300,-9346,13,61.8,60.85,3.54,76.47,60.8,0.08,10.96,1.85,6.12,2.33,0.69,0
"387","Daniel Lloyd","GWS","FWD",59,322366,330900,-8534,12,61.6,60.58,3.43,70.59,75.67,0.08,10.91,1.79,5.65,2.87,0.69,0
"388","Andrew McPherson","ADE","DEF",59,322218,368300,-46082,9,68.6,67.56,4.48,52.94,83.5,0,12.17,2.33,4.24,3.15,0.01,0
"389","Max King","STK","FWD",59,321924,327400,-5476,16,60.9,60.11,2.6,94.12,56,0,10.83,1.36,7.53,2.15,0.01,0
"390","Ed Richards","WBD","MID",58,320012,309300,10712,16,57.6,56.71,3.47,94.12,56.8,0,10.22,1.81,7.53,2.18,0.01,0
"391","Ed Richards","WBD","FWD",58,320012,309300,10712,16,57.6,56.71,3.47,94.12,56.8,0,10.22,1.81,7.53,2.18,0.01,0
"392","Tom Williamson","CAR","DEF",58,318540,313400,5140,15,58.3,57.33,3.75,88.24,59.8,0,10.33,1.96,7.06,2.29,0.01,0
"393","Aaron Naughton","WBD","FWD",58,318246,329700,-11454,11,61.4,63.64,2.26,64.71,61.4,0.17,11.46,1.18,5.18,2.35,1.46,0
"394","Wayne Milera","ADE","DEF",58,318099,312200,5899,2,83,82,5.31,11.76,83,0,14.77,2.76,0.95,3.13,0.01,0
"395","James Frawley","STK","DEF",58,318099,295900,22199,14,55.1,62.36,2.77,82.35,61,0,11.23,1.45,6.59,2.34,0.01,0
"396","Jordan Roughead","COL","DEF",58,317952,311300,6652,15,57.9,59.73,2.95,88.24,58.33,0,10.76,1.54,7.06,2.24,0.01,0
"397","Ben King","GCS","FWD",58,317363,298700,18663,17,55.6,54.59,2.49,100,49.6,0.06,9.83,1.3,8,1.92,0.52,0
"398","Adam Tomlinson","MEL","DEF",58,317216,324000,-6784,13,60.3,59.31,4.2,76.47,67.17,0,10.68,2.19,6.12,2.56,0.01,0
"399","Adam Tomlinson","MEL","MID",58,317216,324000,-6784,13,60.3,59.31,4.2,76.47,67.17,0,10.68,2.19,6.12,2.56,0.01,0
"400","Lachie Ash","GWS","DEF",58,316480,320600,-4120,12,59.7,58.67,3.8,70.59,87.5,0,10.57,1.98,5.65,3.3,0.01,0
"401","Michael Hartley","HAW","DEF",58,316480,317800,-1320,2,84.5,83.5,4.45,11.76,84.5,0,15.04,2.32,0.95,3.19,0.01,0
"402","Harry McKay","CAR","FWD",58,316480,319900,-3420,13,59.5,61.53,2.65,76.47,77,0,11.08,1.38,6.12,2.92,0.01,0
