"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"79","Bailey Smith","WBD","MID",95,522759,494600,28159,17,92.1,90.89,6.85,100,88.6,0.5,16.37,3.56,8,3.34,4.26,0
"80","Harry Perryman","GWS","MID",95,521729,505000,16729,16,94,93,6.16,94.12,98.75,0.5,16.75,3.21,7.53,3.71,4.26,0
"81","Jack Viney","MEL","MID",95,521141,534900,-13759,16,99.6,98.56,6.7,94.12,90.6,0.38,17.75,3.49,7.53,3.41,3.24,0
"82","Josh P. Kennedy","SYD","MID",95,519522,513500,6022,12,95.6,102.63,7.06,70.59,105,0.42,18.48,3.67,5.65,3.93,3.58,0
"83","Ed Curnow","CAR","MID",94,517609,512600,5009,17,95.4,95.48,6.69,100,93.8,0.35,17.19,3.48,8,3.53,2.98,0
"84","Luke Shuey","WCE","MID",93,510106,508600,1506,12,94.7,99.19,6.61,70.59,82.67,0.54,17.86,3.44,5.65,3.12,4.6,0
"85","Shannon Hurn","WCE","DEF",93,509811,477800,32011,16,88.9,99.74,5.57,94.12,101,0.29,17.96,2.9,7.53,3.79,2.47,0
"86","Robbie Gray","POR","FWD",93,509223,491100,18123,17,91.4,95.3,5.37,100,104.67,0.32,17.16,2.8,8,3.92,2.73,0
"87","Mark Blicavs","GEE","DEF",93,508634,531600,-22966,17,98.9,95.62,4.03,100,95.56,0.43,17.22,2.1,8,3.59,3.66,0
"88","Mark Blicavs","GEE","MID",93,508634,531600,-22966,17,98.9,95.62,4.03,100,95.56,0.43,17.22,2.1,8,3.59,3.66,0
"89","Elliot Yeo","WCE","MID",92,505692,483000,22692,10,89.9,102.88,6.71,58.82,89.9,0.5,18.52,3.49,4.71,3.39,4.26,0
"90","Jacob Hopper","GWS","MID",92,504220,488600,15620,17,90.9,93.2,6.44,100,97.8,0.29,16.78,3.35,8,3.67,2.47,0
"91","Marc Murphy","CAR","MID",92,502602,444700,57902,17,82.8,98.88,6.55,100,76.6,0.24,17.8,3.41,8,2.9,2.05,0
"92","Jarrod Witts","GCS","RUC",92,502161,501600,561,17,93.4,95.62,6.16,100,85.6,0.29,17.22,3.21,8,3.23,2.47,0
"93","James Sicily","HAW","DEF",91,500984,552900,-51916,11,102.9,101.18,5.66,64.71,102.9,0.45,18.22,2.95,5.18,3.86,3.84,0
"94","Andrew McGrath","ESS","MID",91,499512,510000,-10488,14,94.9,93.93,7.32,82.35,78.67,0.43,16.91,3.81,6.59,2.98,3.66,0
"95","Dan Houston","POR","DEF",90,496128,489300,6828,15,91.1,90.53,5.58,88.24,105.75,0.41,16.3,2.9,7.06,3.96,3.5,0
"96","Jack Billings","STK","MID",90,495981,514800,-18819,17,95.8,92.42,6.35,100,80.29,0.32,16.64,3.3,8,3.04,2.73,0
"97","Brad Sheppard","WCE","DEF",90,492891,492700,191,17,91.7,88.89,5.55,100,86.83,0.39,16.01,2.89,8,3.27,3.33,0
"98","Devon Smith","ESS","MID",90,492450,458000,34450,16,85.2,92.33,6.01,94.12,94.2,0.31,16.63,3.13,7.53,3.54,2.64,0
"99","Joel Selwood","GEE","MID",90,491567,445000,46567,11,82.8,105.08,5.54,64.71,96.2,0.33,18.92,2.88,5.18,3.61,2.82,0
"100","Will Setterfield","CAR","MID",89,490537,481900,8637,16,89.7,88.69,5.42,94.12,100.75,0.38,15.97,2.82,7.53,3.78,3.24,0
"101","Christian Salem","MEL","DEF",89,490096,469100,20996,16,87.3,87.45,6.34,94.12,92.67,0.38,15.75,3.3,7.53,3.49,3.24,0
"102","Scott Lycett","POR","RUC",89,489654,520700,-31046,13,96.9,98.39,6.23,76.47,89.67,0.33,17.72,3.24,6.12,3.38,2.82,0
"103","Ed Langdon","MEL","MID",89,488919,487300,1619,17,90.7,89.71,6.77,100,93.33,0.24,16.15,3.52,8,3.51,2.05,0
"104","Adam Cerra","FRE","MID",89,488919,484800,4119,17,90.2,88.76,5.79,100,100.6,0.29,15.98,3.01,8,3.77,2.47,0
"105","Daniel Rich","BRI","DEF",89,488330,483100,5230,13,89.9,92.46,6.11,76.47,118.25,0.33,16.65,3.18,6.12,4.42,2.82,0
"106","Brad Crouch","STK","MID",88,480826,448600,32226,12,83.5,95.12,7.79,70.59,80,0.33,17.13,4.05,5.65,3.03,2.82,0
"107","Sebastian Ross","STK","MID",87,478472,417900,60572,14,77.8,99.13,6.13,82.35,86.4,0.19,17.85,3.19,6.59,3.26,1.63,0
"108","Dom Sheed","WCE","MID",87,475824,478500,-2676,16,89.1,88.96,6.9,94.12,71.8,0.29,16.02,3.59,7.53,2.73,2.47,0
"109","James Worpel","HAW","MID",87,475677,474200,1477,15,88.3,95.71,6.08,88.24,84,0.2,17.23,3.16,7.06,3.17,1.71,0
"110","Ben McEvoy","HAW","RUC",87,475235,456000,19235,16,84.9,94.79,4.9,94.12,79.75,0.25,17.07,2.55,7.53,3.02,2.13,0
"111","Rhys Stanley","GEE","RUC",87,474941,551900,-76959,7,102.7,97.45,7.2275,41.18,102.17,0.45,17.55,3.76,3.3,3.83,3.84,0
"112","Jarrod Berry","BRI","MID",87,474647,521500,-46853,15,97.1,89.76,5.7,88.24,81.8,0.35,16.16,2.97,7.06,3.09,2.98,0
"113","Jaeger O'Meara","HAW","MID",86,474500,488000,-13500,12,90.8,89.5,6.62,70.59,92,0.42,16.12,3.44,5.65,3.46,3.58,0
"114","Rory Sloane","ADE","MID",86,471410,471900,-490,12,87.8,104.19,5.6,70.59,86.33,0.17,18.76,2.91,5.65,3.26,1.46,0
"115","Nick Vlastuin","RIC","DEF",86,470969,483500,-12531,16,90,88.62,4.7,94.12,81.89,0.35,15.96,2.45,7.53,3.09,2.98,0
"116","Zak Jones","STK","MID",86,470527,494700,-24173,14,92.1,87.25,6.5,82.35,81,0.38,15.71,3.38,6.59,3.06,3.24,0
"117","Bachar Houli","RIC","DEF",86,470233,465600,4633,9,86.7,105.17,6.41,52.94,74,0.31,18.94,3.33,4.24,2.81,2.64,0
"118","Jordan Dawson","SYD","DEF",86,469939,485700,-15761,16,85.4,84.38,5.55,94.12,98,0.31,15.2,2.89,7.53,3.68,2.64,0
"119","Tim Taranto","GWS","MID",86,469497,453700,15797,11,84.5,100.57,6.46,64.71,77.8,0.27,18.11,3.36,5.18,2.95,2.31,0
"120","Zac Williams","CAR","DEF",85,468320,458600,9720,11,85.4,98.62,5.66,64.71,75.75,0.36,17.76,2.95,5.18,2.87,3.07,0
"121","Darcy Parish","ESS","MID",85,467143,465800,1343,17,86.7,85.71,6.34,100,92.5,0.18,15.43,3.3,8,3.48,1.54,0
"122","Brodie Smith","ADE","DEF",85,466996,438200,28796,16,81.6,84.92,6.08,94.12,82.5,0.31,15.29,3.16,7.53,3.12,2.64,0
"123","Brodie Smith","ADE","MID",85,466996,438200,28796,16,81.6,84.92,6.08,94.12,82.5,0.31,15.29,3.16,7.53,3.12,2.64,0
"124","Lachie Weller","GCS","MID",85,466996,436500,30496,17,81.2,84.32,5.92,100,79.6,0.29,15.18,3.08,8,3.01,2.47,0
"125","Robbie Tarrant","NME","DEF",85,465083,463100,1983,16,86.2,85.19,5.21,94.12,90,0.31,15.34,2.71,7.53,3.39,2.64,0
"126","Liam Duggan","WCE","DEF",84,462435,448600,13835,16,83.5,82.29,5.77,94.12,96,0.29,14.82,3,7.53,3.61,2.47,0
"127","Trent Cotchin","RIC","MID",84,460375,443500,16875,13,82.5,94.29,6.3,76.47,75.5,0.24,16.98,3.28,6.12,2.86,2.05,0
"128","Dane Rampe","SYD","DEF",84,459934,492300,-32366,11,91.6,94.19,5,64.71,91.6,0.36,16.96,2.6,5.18,3.45,3.07,0
"129","Shai Bolton","RIC","MID",84,459934,462400,-2466,15,86.1,84.84,5.46,88.24,88.88,0.32,15.28,2.84,7.06,3.35,2.73,0
"130","Shai Bolton","RIC","FWD",84,459934,462400,-2466,15,86.1,84.84,5.46,88.24,88.88,0.32,15.28,2.84,7.06,3.35,2.73,0
"131","Ben McEvoy","HAW","DEF",84,459198,456000,3198,16,84.9,94.79,2.8,94.12,79.75,0.25,17.07,1.46,7.53,3.02,2.13,0
"132","Liam Ryan","WCE","FWD",84,459198,409600,49598,17,76.2,77.33,3.76,100,106.5,0.39,13.93,1.96,8,3.99,3.33,0
"133","Rory Lobb","FRE","RUC",84,458610,415000,43610,17,77.2,84.07,5.9325,100,76.2,0.24,15.14,3.09,8,2.89,2.05,0
"134","Darcy Byrne-Jones","POR","DEF",84,458168,441800,16368,17,82.2,87,5.47,100,86.17,0.16,15.67,2.85,8,3.25,1.37,0
"135","Trent McKenzie","POR","DEF",83,457138,388300,68838,15,72.3,107,3.75,88.24,72.83,0,19.27,1.96,7.06,2.77,0.01,0
"136","Charlie Dixon","POR","FWD",83,456108,498700,-42592,16,92.8,87.39,3.06,94.12,87.83,0.33,15.74,1.6,7.53,3.31,2.82,0
"137","Oscar McInerney","BRI","RUC",83,455961,443400,12561,17,82.5,82.21,5.4775,100,82.71,0.26,14.8,2.85,8,3.12,2.22,0
"138","Zak Butters","POR","FWD",83,455078,471400,-16322,15,87.7,84.82,4.73,88.24,83.75,0.35,15.27,2.46,7.06,3.16,2.98,0
"139","Chad Wingard","HAW","FWD",83,454931,452300,2631,17,84.2,83.18,4.67,100,80.4,0.29,14.98,2.43,8,3.04,2.47,0
"140","Bailey Williams","WBD","DEF",83,454784,452600,2184,17,84.2,84.39,5.34,100,80.8,0.22,15.2,2.78,8,3.05,1.88,0
