,Name,Team,Position,Proj_Score,Price,adp
77,David Mundy,FRE,MID,98,502000,1
101,Scott Lycett,POR,RUC,92,520700,1
155,Alex Witherden,WCE,DEF,83,456100,1
156,Hamish Hartlett,POR,DEF,83,421900,1
228,Gryan Miers,GEE,FWD,74,387100,1
229,Will Snelling,ESS,FWD,74,368500,1
232,Luke Breust,HAW,FWD,74,428100,1
233,Toby McLean,WBD,FWD,74,366700,1
79,Harry Perryman,GWS,MID,97,505000,0
103,Rhys Stanley,GEE,RUC,91,551900,0
157,Sam Petrevski-Seton,CAR,DEF,82,401400,0
159,Jason Johannisen,WBD,DEF,82,448300,0
160,Nick Coffield,STK,DEF,82,426500,0
161,Trent McKenzie,POR,DEF,82,388300,0
241,Charlie Cameron,BRI,FWD,73,395400,0
244,Jack Higgins,STK,FWD,73,419600,0
246,Matthew Kennedy,CAR,FWD,73,437500,0
81,Jacob Hopper,GWS,MID,96,488600,-1
168,Michael Hurley,ESS,DEF,81,431400,-1
249,Aaron Hall,NME,FWD,72,392200,-1
251,Connor Rozee,POR,FWD,72,377200,-1
252,David Zaharakis,ESS,FWD,72,351400,-1
253,Mitch Wallis,WBD,FWD,72,379900,-1
255,Jack Riewoldt,RIC,FWD,72,344500,-1
256,Shaun Burgoyne,HAW,FWD,72,378600,-1
257,Bayley Fritsch,MEL,FWD,72,359300,-1
82,Andrew McGrath,ESS,MID,95,510000,-2
89,Ed Langdon,MEL,MID,95,487300,-2
117,Tim Taranto,GWS,MID,95,453700,-2
170,Tom Doedee,ADE,DEF,80,457900,-2
172,James Harmes,MEL,DEF,80,344700,-2
174,Harris Andrews,BRI,DEF,80,469700,-2
176,Ben McEvoy,HAW,DEF,80,456000,-2
179,Tom Barrass,WCE,DEF,80,447200,-2
180,Michael Hibberd,MEL,DEF,80,378000,-2
260,Oscar Allen,WCE,FWD,71,422100,-2
453,Matt Rowell,GCS,MID,95,495100,-2
83,Michael Walters,FRE,MID,94,531100,-3
91,Luke Shuey,WCE,MID,94,508600,-3
95,Jack Billings,STK,MID,94,514800,-3
190,Harry Cunningham,SYD,DEF,79,410400,-3
191,Jeremy McGovern,WCE,DEF,79,462100,-3
265,Luke Dahlhaus,GEE,FWD,70,375200,-3
266,Levi Casboult,CAR,FWD,70,349900,-3
268,Cameron Rayner,BRI,FWD,70,392900,-3
270,Eric Hipwood,BRI,FWD,70,391300,-3
272,Jamie Elliott,COL,FWD,70,362700,-3
459,Joe Daniher,BRI,FWD,70,233300,-3
505,Jarman Impey,HAW,FWD,70,212800,-3
97,Devon Smith,ESS,MID,93,458000,-4
98,Adam Cerra,FRE,MID,93,484800,-4
126,Rory Lobb,FRE,RUC,87,415000,-4
129,Ben McEvoy,HAW,RUC,87,456000,-4
202,Liam Baker,RIC,DEF,78,419100,-4
204,Shaun Atley,NME,DEF,78,404200,-4
205,Hayden Crozier,WBD,DEF,78,409100,-4
206,Darcy Moore,COL,DEF,78,430200,-4
282,Rhys Mathieson,BRI,FWD,69,364800,-4
286,Brett Bewley,FRE,FWD,69,388200,-4
