"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"22","Marcus Bontempelli","WBD","MID",109,573637,623900,-50263,17,116.1,115.68,6.74,100,112.8,0.61,15.36,8.2,8,6.75,6.49
"23","Rory Laird","ADE","DEF",109,572357,564800,7557,17,105.1,106.32,8.1,100,117.6,0.53,13.56,10.47,8,7.03,5.64
"24","Rory Laird","ADE","MID",109,572357,564800,7557,17,105.1,106.32,8.1,100,117.6,0.53,13.56,10.47,8,7.03,5.64
"25","Mitch Duncan","GEE","MID",109,571205,556700,14505,16,103.6,112.38,6.56,94.12,110.56,0.75,14.72,7.9,7.39,6.62,7.98
"26","Dustin Martin","RIC","MID",109,571076,541600,29476,16,100.8,121.89,7.12,94.12,108.67,0.5,16.55,8.83,7.39,6.51,5.32
"27","Dustin Martin","RIC","FWD",109,571076,541600,29476,16,100.8,121.89,7.12,94.12,108.67,0.5,16.55,8.83,7.39,6.51,5.32
"28","Josh Kelly","GWS","MID",109,570436,615600,-45164,14,114.6,114.57,7.39,82.35,107,0.71,15.14,9.28,6.16,6.41,7.56
"29","Travis Boak","POR","MID",108,568388,590400,-22012,17,109.9,109.38,7.43,100,112.5,0.58,14.14,9.35,8,6.73,6.17
"30","Scott Pendlebury","COL","MID",108,566467,592200,-25733,13,110.2,130.19,7.47,76.47,102.6,0.47,18.14,9.41,5.54,6.15,5
"31","Sam Menegola","GEE","MID",108,565186,579000,-13814,17,107.8,106.71,6.83,100,110.33,0.71,13.63,8.35,8,6.6,7.56
"32","Rowan Marshall","STK","RUC",107,564802,557200,7602,17,103.7,108.64,8.3825,100,102.86,0.47,14,10.94,8,6.17,5
"33","Nic Naitanui","WCE","RUC",107,564290,593700,-29410,16,110.5,115.04,6.895,94.12,112.2,0.59,15.23,8.46,7.39,6.71,6.28
"34","Touk Miller","GCS","MID",105,553022,569200,-16178,17,105.9,105.94,7.01,100,102.4,0.65,13.48,8.65,8,6.14,6.92
"35","Tom Rockliff","POR","MID",105,551486,573000,-21514,14,106.6,107.12,7.39,82.35,122.67,0.62,13.71,9.28,6.16,7.32,6.6
"36","Luke Ryan","FRE","DEF",104,545724,576500,-30776,17,107.3,106.71,6.2,100,102.2,0.71,13.63,7.3,8,6.13,7.56
"37","Patrick Cripps","CAR","MID",103,543547,523700,19847,17,97.5,118.58,6.99,100,81.6,0.47,15.91,8.61,8,4.93,5
"38","Stephen Coniglio","GWS","MID",103,543419,528900,14519,16,98.4,111.88,7.06,94.12,95.25,0.56,14.63,8.73,7.39,5.73,5.96
"39","Tom Liberatore","WBD","MID",103,539322,569900,-30578,15,106.1,110.38,6.7,88.24,115.8,0.56,14.34,8.13,6.77,6.92,5.96
"40","Caleb Daniel","WBD","DEF",103,538681,545500,-6819,17,101.5,104.44,6.51,100,118.8,0.56,13.2,7.81,8,7.1,5.96
"41","Cameron Guthrie","GEE","MID",102,537913,554700,-16787,17,103.2,103.43,6.87,100,109.11,0.57,13,8.41,8,6.53,6.07
"42","Tim English","WBD","RUC",102,537401,551200,-13799,17,102.6,102.06,7.595,100,105,0.5,12.74,9.62,8,6.29,5.32
"43","Sam Walsh","CAR","MID",102,537273,543300,-6027,17,101.1,101.12,7.3,100,121.8,0.47,12.56,9.13,8,7.27,5
"44","Lachie Hunter","WBD","MID",101,532535,618500,-85965,9,115.1,111.9,8.16,52.94,115.75,0.6,14.63,10.57,3.08,6.92,6.39
"45","Jed Anderson","NME","MID",101,529462,562300,-32838,15,104.7,104.67,7,88.24,118.4,0.53,13.24,8.63,6.77,7.07,5.64
"46","Hugh Greenwood","GCS","MID",100,526005,567300,-41295,17,105.6,105.59,6.22,100,111.8,0.53,13.42,7.33,8,6.69,5.64
"47","Hugh McCluggage","BRI","MID",100,525109,545500,-20391,17,101.5,103.16,6.68,100,105.43,0.53,12.95,8.1,8,6.32,5.64
"48","Josh P. Kennedy","SYD","MID",100,523188,513500,9688,12,95.6,121.33,7.06,70.59,105,0.42,16.44,8.73,4.93,6.29,4.47
"49","Ollie Wines","POR","MID",99,522036,560600,-38564,15,104.3,104.24,7.07,88.24,107.67,0.53,13.16,8.75,6.77,6.45,5.64
"50","Steele Sidebottom","COL","MID",99,521267,588000,-66733,9,109.4,114.76,7.52,52.94,117,0.56,15.18,9.5,3.08,6.99,5.96
"51","Steele Sidebottom","COL","FWD",99,521267,588000,-66733,9,109.4,114.76,7.52,52.94,117,0.56,15.18,9.5,3.08,6.99,5.96
"52","Adam Treloar","WBD","MID",98,513841,587600,-73759,8,109.4,113.23,8.54,47.06,86,0.6,14.88,11.2,2.47,5.19,6.39
"53","Dylan Shiel","ESS","MID",98,512816,548000,-35184,15,102,102,7.65,88.24,97.17,0.47,12.73,9.71,6.77,5.84,5
"54","David Mundy","FRE","MID",97,511024,502000,9024,16,93.4,111.4,6.06,94.12,104,0.44,14.53,7.06,7.39,6.24,4.69
"55","Tom Stewart","GEE","DEF",97,507951,538000,-30049,14,100.1,101.06,6.16,82.35,110.33,0.67,12.55,7.23,6.16,6.6,7.13
"56","Andrew Brayshaw","FRE","MID",97,507823,544200,-36377,17,101.3,100.71,6.63,100,91.8,0.53,12.48,8.01,8,5.53,5.64
"57","Jordan Ridley","ESS","DEF",97,507695,547700,-40005,17,101.9,101.94,5.91,100,97.17,0.59,12.72,6.81,8,5.84,6.28
"58","Adam Saad","CAR","DEF",96,504237,526200,-21963,17,97.9,97.94,6.24,100,96.33,0.59,11.95,7.36,8,5.79,6.28
"59","Dayne Zorko","BRI","MID",96,504109,525800,-21691,15,97.9,110.52,6.02,88.24,93,0.53,14.36,7,6.77,5.6,5.64
"60","Dayne Zorko","BRI","FWD",96,504109,525800,-21691,15,97.9,110.52,6.02,88.24,93,0.53,14.36,7,6.77,5.6,5.64
"61","Marc Murphy","CAR","MID",96,503469,444700,58769,17,82.8,120.27,6.55,100,76.6,0.24,16.24,7.88,8,4.64,2.56
"62","Shaun Higgins","GEE","MID",95,500140,510400,-10260,17,95,103.2,7.12,100,81,0.41,12.96,8.83,8,4.9,4.37
"63","Luke McDonald","NME","DEF",95,498091,512900,-14809,17,95.5,95.47,6.74,100,114.8,0.41,11.47,8.2,8,6.86,4.37
"64","Sam Docherty","CAR","DEF",94,496171,496000,171,16,92.3,113.46,6.62,94.12,85,0.31,14.93,8,7.39,5.13,3.3
"65","Callum Mills","SYD","DEF",94,496043,544800,-48757,15,101.4,101.4,6.17,88.24,108,0.53,12.61,7.25,6.77,6.47,5.64
"66","Jayden Short","RIC","DEF",94,492457,519300,-26843,17,96.6,98.33,6.56,100,99.33,0.43,12.02,7.9,8,5.96,4.58
"67","Tim Kelly","WCE","MID",93,490665,517400,-26735,17,96.3,95.72,7.01,100,100,0.39,11.52,8.65,8,6,4.15
"68","Ed Curnow","CAR","MID",93,488360,512600,-24240,17,95.4,101.65,6.69,100,93.8,0.35,12.66,8.11,8,5.64,3.73
"69","Rowan Marshall","STK","FWD",93,488104,557200,-69096,17,103.7,108.64,4.79,100,102.86,0.47,14,4.95,8,6.17,5
"70","Robbie Gray","POR","FWD",93,487464,491100,-3636,17,91.4,111.15,5.37,100,104.67,0.32,14.48,5.91,8,6.27,3.41
"71","Jy Simpkin","NME","MID",93,487336,499700,-12364,17,93,93,6.74,100,86.6,0.53,11,8.2,8,5.22,5.64
"72","Jack Crisp","COL","DEF",93,486823,533200,-46377,17,99.2,98.16,6.07,100,108.29,0.42,11.99,7.08,8,6.48,4.47
"73","Trent Dumont","NME","MID",92,484391,543300,-58909,17,101.2,101.24,6.7,100,89.4,0.35,12.58,8.13,8,5.39,3.73
"74","Bailey Smith","WBD","MID",92,484263,494600,-10337,17,92.1,91.89,6.85,100,88.6,0.5,10.78,8.38,8,5.34,5.32
